idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,datastop,utm_nord,utm_est,lat,lng,location
5504,Biossido di Azoto,µg/m³,501,Milano v.Marche,129.0,MI,Milano,N,1980-09-18T00:00:00.000,,5038105,514918,45.49631883,9.19093444,POINT (9.19093444 45.49631883)
6690,Ossidi di Azoto,µg/m³,642,Pavia v. Folperti,77.0,PV,Pavia,N,2002-06-01T00:00:00.000,,5004590,512932,45.19468231,9.16464919,POINT (9.16464919 45.19468231)
10346,Particelle sospese PM2.5,µg/m³,707,Mortara v. Trento,108.0,PV,Mortara,S,2007-12-01T00:00:00.000,2021-05-12T09:00:00.000,5011280,479925,45.25473597,8.74415572,POINT (8.74415572 45.25473597)
6300,Ossidi di Azoto,µg/m³,544,Cormano v. Edison,153.0,MI,Cormano,N,1994-10-24T00:00:00.000,,5044180,512693,45.547597,9.166983,POINT (9.166983 45.547597)
5948,Biossido di Azoto,µg/m³,625,Casalmaggiore v.Volta,23.0,CR,Casalmaggiore,S,1996-05-19T00:00:00.000,2007-02-21T00:00:00.000,4981793,612537,44.98066517,10.42738161,POINT (10.42738161 44.98066517)
12022,Particelle sospese PM2.5,µg/m³,1297,Spinadesco v.Battisti,48.0,CR,Spinadesco,N,2011-02-16T00:00:00.000,,5000087,573153,45.15047339,9.93059842,POINT (9.93059842 45.15047339)
10327,Biossido di Zolfo,µg/m³,708,Parona v. della Miseria,112.0,PV,Parona,N,2007-08-15T00:00:00.000,,5014300,480733,45.28194289,8.75433614,POINT (8.75433614 45.28194289)
12629,Benzo(a)pirene,ng/m³,705,Milano Pascal Città Studi,122.0,MI,Milano,N,2008-04-02T00:00:00.000,,5036190,518405,45.478347,9.231667,POINT (9.231667 45.478347)
6762,Biossido di Zolfo,µg/m³,649,Brescia v.Broletto,149.0,BS,Brescia,S,1983-01-01T00:00:00.000,2000-06-06T00:00:00.000,5043674,595467,45.54006456,10.22281989,POINT (10.22281989 45.54006456)
9804,Ossidi di Azoto,µg/m³,670,Mantova S.Agnese,22.0,MN,Mantova,N,2006-04-23T00:00:00.000,,5002356,641122,45.16057658,10.79557331,POINT (10.79557331 45.16057658)
5575,Biossido di Azoto,µg/m³,572,Morbegno v.Cortivacci,262.0,SO,Morbegno,N,1999-01-13T00:00:00.000,,5108901,543736,46.135486,9.56624,POINT (9.56624 46.135486)
10479,Particelle sospese PM2.5,µg/m³,1267,Turano Lodigiano v. Gramsci,65.0,LO,Turano Lodigiano,S,2009-08-03T00:00:00.000,2017-03-31T00:00:00.000,5010942,548751,45.25028636,9.62126692,POINT (9.62126692 45.25028636)
