giorno,ATS,NO2_mean_ugm3,PM10_SM2005_mean_ugm3,PM25_mean_ugm3
2024-03-14,ATS_Montagna,-45.699012345679016,37.23076923076923,28.375
2024-03-15,ATS_Bergamo,23.120833333333334,19.625,11.6
2024-03-15,ATS_Montagna,3.649019607843138,30.53846153846154,18.875
2024-03-16,ATS_Bergamo,23.44490740740741,26.5,19.4
2024-03-16,ATS_Montagna,24.633169533169536,24.307692307692307,15.625
2024-03-17,ATS_Bergamo,20.581944444444442,31.0,24.0
2024-03-17,ATS_Montagna,19.84840294840295,22.76923076923077,17.875
2024-03-18,ATS_Bergamo,26.374074074074073,31.625,21.0
2024-03-18,ATS_Montagna,2.841666666666667,32.53846153846154,23.375
2024-03-19,ATS_Bergamo,20.744444444444444,44.375,34.6
2024-03-19,ATS_Montagna,-27.42328431372549,30.0,23.875
2024-03-20,ATS_Bergamo,24.20740740740741,43.375,32.4
2024-03-20,ATS_Montagna,23.841911764705884,33.61538461538461,24.125
2024-03-21,ATS_Bergamo,-65.27268518518518,49.5,39.0
2024-03-21,ATS_Montagna,2.451351351351352,38.46153846153846,32.0
2024-03-22,ATS_Bergamo,26.65787037037037,48.5,38.2
2024-03-22,ATS_Montagna,26.96421568627451,33.38461538461539,26.625
2024-03-23,ATS_Bergamo,21.7212962962963,33.125,22.6
2024-03-23,ATS_Montagna,23.308010335917313,27.76923076923077,21.875
2024-03-24,ATS_Bergamo,10.164351851851851,5.125,-1995.8
2024-03-24,ATS_Montagna,14.345169712793734,8.538461538461538,6.75
2024-03-25,ATS_Bergamo,-70.05925925925926,16.375,10.0
2024-03-25,ATS_Montagna,-104.25263157894737,12.76923076923077,7.25
2024-03-26,ATS_Bergamo,-65.59027777777777,-1232.75,-1988.8
2024-03-26,ATS_Montagna,-467.6272727272727,18.923076923076923,10.75
2024-03-27,ATS_Bergamo,23.19675925925926,15.875,10.8
2024-03-27,ATS_Montagna,-294.86617647058824,14.076923076923077,9.875
2024-03-28,ATS_Bergamo,24.441203703703703,9.875,7.4
2024-03-28,ATS_Montagna,-72.90637254901961,10.76923076923077,7.5
2024-03-29,ATS_Bergamo,27.480555555555558,20.0,14.8
2024-03-29,ATS_Montagna,-23.415931372549018,20.153846153846153,11.75
2024-03-30,ATS_Bergamo,22.69675925925926,64.0,26.6
2024-03-30,ATS_Montagna,19.906127450980392,86.6923076923077,31.571428571428573
2024-03-31,ATS_Bergamo,12.290740740740741,38.285714285714285,11.75
2024-03-31,ATS_Montagna,13.538829787234043,-743.3846153846154,10.857142857142858
2024-04-01,ATS_Bergamo,8.227777777777778,21.714285714285715,6.0
2024-04-01,ATS_Montagna,-406.7866666666667,16.916666666666668,8.428571428571429
2024-04-02,ATS_Bergamo,18.890740740740743,7.571428571428571,5.75
2024-04-02,ATS_Montagna,-368.3341085271318,-762.1538461538462,4.0
2024-04-03,ATS_Bergamo,29.73935185185185,-1238.0,10.25
2024-04-03,ATS_Montagna,24.80686274509804,14.692307692307692,8.5
2024-04-04,ATS_Bergamo,22.433796296296297,16.25,10.4
2024-04-04,ATS_Montagna,23.4590570719603,16.46153846153846,9.125
2024-04-05,ATS_Bergamo,21.528240740740742,19.25,11.2
2024-04-05,ATS_Montagna,-52.111111111111114,19.384615384615383,10.875
2024-04-06,ATS_Bergamo,22.93425925925926,22.125,15.4
2024-04-06,ATS_Montagna,21.90452261306533,20.615384615384617,12.25
2024-04-07,ATS_Bergamo,23.99398148148148,24.5,16.2
2024-04-07,ATS_Montagna,20.199479166666666,-750.6923076923077,-1238.875
