giorno,ATS,nometiposensore,valore_medio
2024-02-12,ATS_Montagna,PM10 (SM2005),18.846153846153847
2024-02-12,ATS_Montagna,Particelle sospese PM2.5,11.375
2024-02-13,ATS_Bergamo,Biossido di Azoto,-10.430555555555557
2024-02-13,ATS_Bergamo,PM10 (SM2005),37.875
2024-02-13,ATS_Bergamo,Particelle sospese PM2.5,31.6
2024-02-13,ATS_Montagna,Biossido di Azoto,29.97960687960688
2024-02-13,ATS_Montagna,PM10 (SM2005),26.076923076923077
2024-02-13,ATS_Montagna,Particelle sospese PM2.5,19.625
2024-02-14,ATS_Bergamo,Biossido di Azoto,39.56018518518518
2024-02-14,ATS_Bergamo,PM10 (SM2005),36.5
2024-02-14,ATS_Bergamo,Particelle sospese PM2.5,31.0
2024-02-14,ATS_Montagna,Biossido di Azoto,-40.86911764705882
2024-02-14,ATS_Montagna,PM10 (SM2005),29.384615384615383
2024-02-14,ATS_Montagna,Particelle sospese PM2.5,19.5
2024-02-15,ATS_Bergamo,Biossido di Azoto,-374.2481481481482
2024-02-15,ATS_Bergamo,PM10 (SM2005),56.875
2024-02-15,ATS_Bergamo,Particelle sospese PM2.5,46.0
2024-02-15,ATS_Montagna,Biossido di Azoto,36.230637254901964
2024-02-15,ATS_Montagna,PM10 (SM2005),48.38461538461539
2024-02-15,ATS_Montagna,Particelle sospese PM2.5,34.0
2024-02-16,ATS_Bergamo,Biossido di Azoto,-418.137962962963
2024-02-16,ATS_Bergamo,PM10 (SM2005),77.75
2024-02-16,ATS_Bergamo,Particelle sospese PM2.5,65.0
2024-02-16,ATS_Montagna,Biossido di Azoto,12.612254901960785
2024-02-16,ATS_Montagna,PM10 (SM2005),62.30769230769231
2024-02-16,ATS_Montagna,Particelle sospese PM2.5,-1208.0
2024-02-17,ATS_Bergamo,Biossido di Azoto,49.588888888888896
2024-02-17,ATS_Bergamo,PM10 (SM2005),-1167.0
2024-02-17,ATS_Bergamo,Particelle sospese PM2.5,-1939.0
2024-02-17,ATS_Montagna,Biossido di Azoto,11.858823529411763
2024-02-17,ATS_Montagna,PM10 (SM2005),67.23076923076923
2024-02-17,ATS_Montagna,Particelle sospese PM2.5,-1200.5
2024-02-18,ATS_Bergamo,Biossido di Azoto,37.721296296296295
2024-02-18,ATS_Bergamo,PM10 (SM2005),86.75
2024-02-18,ATS_Bergamo,Particelle sospese PM2.5,72.0
2024-02-18,ATS_Montagna,Biossido di Azoto,29.565413533834587
2024-02-18,ATS_Montagna,PM10 (SM2005),-715.4615384615385
2024-02-18,ATS_Montagna,Particelle sospese PM2.5,-1208.0
2024-02-19,ATS_Bergamo,Biossido di Azoto,-49.182870370370374
2024-02-19,ATS_Bergamo,PM10 (SM2005),93.875
2024-02-19,ATS_Bergamo,Particelle sospese PM2.5,75.8
2024-02-19,ATS_Montagna,Biossido di Azoto,-41.06826196473552
2024-02-19,ATS_Montagna,PM10 (SM2005),62.38461538461539
2024-02-19,ATS_Montagna,Particelle sospese PM2.5,-1206.25
2024-02-20,ATS_Bergamo,Biossido di Azoto,-51.893055555555556
2024-02-20,ATS_Bergamo,PM10 (SM2005),83.875
2024-02-20,ATS_Bergamo,Particelle sospese PM2.5,64.75
2024-02-20,ATS_Montagna,Biossido di Azoto,6.0336708860759485
2024-02-20,ATS_Montagna,PM10 (SM2005),54.84615384615385
2024-02-20,ATS_Montagna,Particelle sospese PM2.5,-1212.375
2024-02-21,ATS_Bergamo,Biossido di Azoto,38.06018518518518
2024-02-21,ATS_Bergamo,PM10 (SM2005),49.0
2024-02-21,ATS_Bergamo,Particelle sospese PM2.5,38.5
2024-02-21,ATS_Montagna,Biossido di Azoto,-41.894235588972435
2024-02-21,ATS_Montagna,PM10 (SM2005),38.0
2024-02-21,ATS_Montagna,Particelle sospese PM2.5,-1224.875
2024-02-22,ATS_Bergamo,Biossido di Azoto,35.461111111111116
2024-02-22,ATS_Bergamo,PM10 (SM2005),43.375
2024-02-22,ATS_Bergamo,Particelle sospese PM2.5,30.0
2024-02-22,ATS_Montagna,Biossido di Azoto,-65.89975490196078
2024-02-22,ATS_Montagna,PM10 (SM2005),44.38461538461539
2024-02-22,ATS_Montagna,Particelle sospese PM2.5,-1221.125
2024-02-23,ATS_Bergamo,Biossido di Azoto,26.985648148148147
