codice_dusaf,macro_cat,area_km2
3241,Boschi e zone naturali,0.002799281409791534
2311,Agricola,0.028868577210890818
3241,Boschi e zone naturali,0.05307939886537134
31121,Boschi e zone naturali,0.006468386730377759
31311,Boschi e zone naturali,0.5863828607731472
2311,Agricola,0.004687248935200682
2111,Agricola,0.0033944947868973173
1123,Residenziale,0.002226745159530935
2311,Agricola,0.027763030071846613
2311,Agricola,0.008124386331454887
31111,Boschi e zone naturali,0.054587326683530946
2311,Agricola,0.0037403402920904746
2311,Agricola,0.02999907853555901
2311,Agricola,0.003386998888349051
1122,Residenziale,0.04897769553677093
2312,Agricola,0.004576123546359976
1123,Residenziale,0.003405245576629661
2111,Agricola,0.00513107773676982
2311,Agricola,0.002893145494279879
1123,Residenziale,0.0027624794258787927
2311,Agricola,0.0027775274907166966
1123,Residenziale,0.0035111871581189405
2312,Agricola,0.0019892075566052317
2311,Agricola,0.010764436111999814
1121,Residenziale,0.0074667802856843175
2311,Agricola,0.004312239990792461
2311,Agricola,0.0035232492226397985
2311,Agricola,0.03387469245339681
31121,Boschi e zone naturali,0.00878326513359573
31311,Boschi e zone naturali,0.03724475724141661
31321,Boschi e zone naturali,0.06089366968318833
31121,Boschi e zone naturali,0.04023171444761084
2311,Agricola,0.0496498720517992
2312,Agricola,0.02797472509263509
2311,Agricola,0.0070188796330514554
2311,Agricola,0.06431120995868433
3241,Boschi e zone naturali,0.004349329194203153
221,Agricola,0.0021761024767078534
2312,Agricola,0.053973799190687635
223,Agricola,0.0026090458554828074
2311,Agricola,0.007279501448030185
1123,Residenziale,0.0017432549194080133
1411,Altre superfici artificiali,0.004991896584835024
2311,Agricola,0.003328591595569757
1112,Residenziale,0.03506684365003171
1121,Residenziale,0.05779659111257948
1123,Residenziale,0.0016306421140931343
12112,Industriale / Commerciale / Infrastrutture,0.0027994870627380806
2311,Agricola,0.009973041278305811
3241,Boschi e zone naturali,0.002931120034996366
3114,Boschi e zone naturali,0.00864346233625428
2312,Agricola,0.007810767546027659
3241,Boschi e zone naturali,0.007584026616727346
2312,Agricola,0.009650240235139981
31321,Boschi e zone naturali,0.025621541255658617
2311,Agricola,0.025456877259883725
3121,Boschi e zone naturali,0.053180097040629676
2311,Agricola,0.007431438349534474
3121,Boschi e zone naturali,0.019074240672078368
2311,Agricola,0.0034988215198718526
3121,Boschi e zone naturali,0.011264100358213885
223,Agricola,0.0024994225797535046
2312,Agricola,0.015173714832512964
1122,Residenziale,0.005224621376800857
12112,Industriale / Commerciale / Infrastrutture,0.005124394062938221
222,Agricola,0.0020757776978537713
223,Agricola,0.010896718423730205
12122,Industriale / Commerciale / Infrastrutture,0.004730943898357311
2311,Agricola,0.006341457756685068
223,Agricola,0.0026655848004802324
1123,Residenziale,0.0018860611106691517
221,Agricola,0.0016116536887554112
2311,Agricola,0.02001695008281487
2312,Agricola,0.0024282395194790856
223,Agricola,0.004653759545474581
223,Agricola,0.002841667316753605
1123,Residenziale,0.0016364403844069781
1123,Residenziale,0.0017003443431230258
31111,Boschi e zone naturali,0.017282992954516796
223,Agricola,0.1395805643117053
223,Agricola,0.02455610307979446
1123,Residenziale,0.0029780146744674807
1123,Residenziale,0.0019091117969593759
2311,Agricola,0.01365308757843014
21131,Agricola,0.004332106882286569
223,Agricola,0.0029514285300955953
2312,Agricola,0.003271200426616809
2112,Agricola,0.004026653312394638
222,Agricola,0.002402341051472897
3241,Boschi e zone naturali,0.003020987153244106
1122,Residenziale,0.00928007380923505
21131,Agricola,0.001660128749149423
2312,Agricola,0.0141526228683704
2312,Agricola,0.009076522935429961
1123,Residenziale,0.004232747095672736
223,Agricola,0.0036015503815275554
31111,Boschi e zone naturali,0.003192678730108905
2242,Agricola,0.0020822277638274478
2242,Agricola,0.003856739186324789
1123,Residenziale,0.003069178832647594
1123,Residenziale,0.002390023139690142
31111,Boschi e zone naturali,0.0018696255257243343
2112,Agricola,0.009965303340170357
2311,Agricola,0.27290452915774727
223,Agricola,0.003134880831018292
1123,Residenziale,0.001708910888229079
2111,Agricola,0.0021193792142406884
2111,Agricola,0.007256952942788159
1123,Residenziale,0.0035932260026495582
223,Agricola,0.016505840965713017
222,Agricola,0.002392497217310568
31111,Boschi e zone naturali,0.0172666203318721
223,Agricola,0.0033449588914178765
223,Agricola,0.0034886430571535168
1123,Residenziale,0.0016465771712739854
31111,Boschi e zone naturali,0.0070771142096939955
2311,Agricola,0.034743652856960815
2311,Agricola,0.11261538488498778
2312,Agricola,0.0027736376810184064
2312,Agricola,0.05104244090530544
2112,Agricola,0.013570818341807496
222,Agricola,0.004491142010182697
2311,Agricola,0.014943101705635897
2311,Agricola,0.009982110629393838
2312,Agricola,0.01822116769036406
31111,Boschi e zone naturali,0.004153265131521966
31311,Boschi e zone naturali,0.5576842044919832
3241,Boschi e zone naturali,0.008652426818462792
2311,Agricola,0.005985992914488774
2312,Agricola,0.002569262985746119
2311,Agricola,0.0159923365135494
2311,Agricola,0.007121295624352385
2311,Agricola,0.003982310882383681
2311,Agricola,0.010168580497873335
