codice_dusaf,macro_cat,area_km2
3121,Boschi e zone naturali,0.17919594266662683
3241,Boschi e zone naturali,0.02284856062203967
3241,Boschi e zone naturali,0.021697253185262225
3221,Boschi e zone naturali,0.021582290851765832
2311,Agricola,0.0065329937184029595
332,Boschi e zone naturali,0.04083643576145483
333,Boschi e zone naturali,0.03718033288909926
3241,Boschi e zone naturali,0.004527350791606126
3221,Boschi e zone naturali,0.041387695600719754
3121,Boschi e zone naturali,0.11625375202096501
3121,Boschi e zone naturali,0.015439216061387408
2312,Agricola,0.0149781720040356
2311,Agricola,0.004892357880582732
2312,Agricola,0.03574645271500236
3121,Boschi e zone naturali,0.006469258757915975
2311,Agricola,0.019295915234327037
3241,Boschi e zone naturali,0.017419921891705235
333,Boschi e zone naturali,0.007941226302975059
331,Boschi e zone naturali,0.059081437919821025
3121,Boschi e zone naturali,0.001696709827553118
3121,Boschi e zone naturali,0.024156392121025213
1122,Residenziale,0.008918566313667093
1123,Residenziale,0.008777966046272139
3241,Boschi e zone naturali,0.0026094893454377556
3242,Boschi e zone naturali,0.005042318297640725
511,Corpi idrici,0.0054046790977538926
1122,Residenziale,0.01298517138200493
2312,Agricola,0.0057693230078956804
2312,Agricola,0.01150448771444783
3241,Boschi e zone naturali,0.005331464006178744
3241,Boschi e zone naturali,0.05957718401040859
3122,Boschi e zone naturali,0.012007403140821852
3221,Boschi e zone naturali,0.058908035142673086
3241,Boschi e zone naturali,0.03017496970482598
3241,Boschi e zone naturali,0.0022400550147436936
333,Boschi e zone naturali,0.0022444858454536954
3212,Boschi e zone naturali,0.02240588538023025
333,Boschi e zone naturali,0.00925546101027876
332,Boschi e zone naturali,0.15487100841325158
1122,Residenziale,0.010293279606705103
2312,Agricola,0.008331263354662591
333,Boschi e zone naturali,0.002211851588538037
1123,Residenziale,0.00822379901343075
3241,Boschi e zone naturali,0.006159789978115414
332,Boschi e zone naturali,0.003669616837896953
2312,Agricola,0.006856394294477494
333,Boschi e zone naturali,0.004989227207899458
