idsensore,nometiposensore,unitamisura,idstazione,sensore,provincia,comune,storico,datastart,datastop
100071,Ozono,µg/m³,100024,O3 Brusimpiano,VA,Brusimpiano,N         ,2011-01-01T00:00:00.000,
100072,PM10,µg/m³,100024,PM10 Brusimpiano,VA,Brusimpiano,N         ,2011-01-01T00:00:00.000,
100073,Biossido di Azoto,µg/m³,100025,NO2 Buguggiate,VA,Buguggiate,N         ,2011-01-01T00:00:00.000,
100074,Ozono,µg/m³,100025,O3 Buguggiate,VA,Buguggiate,N         ,2011-01-01T00:00:00.000,
100075,PM10,µg/m³,100025,PM10 Buguggiate,VA,Buguggiate,N         ,2011-01-01T00:00:00.000,
100076,Biossido di Azoto,µg/m³,100026,NO2 Busto Arsizio,VA,Busto Arsizio,N         ,2011-01-01T00:00:00.000,
100077,Ozono,µg/m³,100026,O3 Busto Arsizio,VA,Busto Arsizio,N         ,2011-01-01T00:00:00.000,
100078,PM10,µg/m³,100026,PM10 Busto Arsizio,VA,Busto Arsizio,N         ,2011-01-01T00:00:00.000,
100079,Biossido di Azoto,µg/m³,100027,NO2 Cadegliano-Viconago,VA,Cadegliano-Viconago,N         ,2011-01-01T00:00:00.000,
100080,Ozono,µg/m³,100027,O3 Cadegliano-Viconago,VA,Cadegliano-Viconago,N         ,2011-01-01T00:00:00.000,
100081,PM10,µg/m³,100027,PM10 Cadegliano-Viconago,VA,Cadegliano-Viconago,N         ,2011-01-01T00:00:00.000,
100082,Biossido di Azoto,µg/m³,100028,NO2 Cadrezzate,VA,Cadrezzate,S         ,2011-01-01T00:00:00.000,2022-11-18T00:00:00.000
100083,Ozono,µg/m³,100028,O3 Cadrezzate,VA,Cadrezzate,S         ,2011-01-01T00:00:00.000,2022-11-18T07:00:00.000
100084,PM10,µg/m³,100028,PM10 Cadrezzate,VA,Cadrezzate,S         ,2011-01-01T00:00:00.000,2022-11-17T00:00:00.000
100085,Biossido di Azoto,µg/m³,100029,NO2 Cairate,VA,Cairate,N         ,2011-01-01T00:00:00.000,
100086,Ozono,µg/m³,100029,O3 Cairate,VA,Cairate,N         ,2011-01-01T00:00:00.000,
100087,PM10,µg/m³,100029,PM10 Cairate,VA,Cairate,N         ,2011-01-01T00:00:00.000,
100088,Biossido di Azoto,µg/m³,100030,NO2 Cantello,VA,Cantello,N         ,2011-01-01T00:00:00.000,
100089,Ozono,µg/m³,100030,O3 Cantello,VA,Cantello,N         ,2011-01-01T00:00:00.000,
100090,PM10,µg/m³,100030,PM10 Cantello,VA,Cantello,N         ,2011-01-01T00:00:00.000,
100091,Biossido di Azoto,µg/m³,100031,NO2 Caravate,VA,Caravate,N         ,2011-01-01T00:00:00.000,
100092,Ozono,µg/m³,100031,O3 Caravate,VA,Caravate,N         ,2011-01-01T00:00:00.000,
100093,PM10,µg/m³,100031,PM10 Caravate,VA,Caravate,N         ,2011-01-01T00:00:00.000,
100094,Biossido di Azoto,µg/m³,100032,NO2 Cardano al Campo,VA,Cardano al Campo,N         ,2011-01-01T00:00:00.000,
100095,Ozono,µg/m³,100032,O3 Cardano al Campo,VA,Cardano al Campo,N         ,2011-01-01T00:00:00.000,
100096,PM10,µg/m³,100032,PM10 Cardano al Campo,VA,Cardano al Campo,N         ,2011-01-01T00:00:00.000,
100097,Biossido di Azoto,µg/m³,100033,NO2 Carnago,VA,Carnago,N         ,2011-01-01T00:00:00.000,
100098,Ozono,µg/m³,100033,O3 Carnago,VA,Carnago,N         ,2011-01-01T00:00:00.000,
100099,PM10,µg/m³,100033,PM10 Carnago,VA,Carnago,N         ,2011-01-01T00:00:00.000,
100100,Biossido di Azoto,µg/m³,100034,NO2 Caronno Pertusella,VA,Caronno Pertusella,N         ,2011-01-01T00:00:00.000,
100101,Ozono,µg/m³,100034,O3 Caronno Pertusella,VA,Caronno Pertusella,N         ,2011-01-01T00:00:00.000,
100102,PM10,µg/m³,100034,PM10 Caronno Pertusella,VA,Caronno Pertusella,N         ,2011-01-01T00:00:00.000,
100103,Biossido di Azoto,µg/m³,100035,NO2 Caronno Varesino,VA,Caronno Varesino,N         ,2011-01-01T00:00:00.000,
100104,Ozono,µg/m³,100035,O3 Caronno Varesino,VA,Caronno Varesino,N         ,2011-01-01T00:00:00.000,
100105,PM10,µg/m³,100035,PM10 Caronno Varesino,VA,Caronno Varesino,N         ,2011-01-01T00:00:00.000,
100106,Biossido di Azoto,µg/m³,100036,NO2 Casale Litta,VA,Casale Litta,N         ,2011-01-01T00:00:00.000,
100107,Ozono,µg/m³,100036,O3 Casale Litta,VA,Casale Litta,N         ,2011-01-01T00:00:00.000,
100108,PM10,µg/m³,100036,PM10 Casale Litta,VA,Casale Litta,N         ,2011-01-01T00:00:00.000,
100109,Biossido di Azoto,µg/m³,100037,NO2 Casalzuigno,VA,Casalzuigno,N         ,2011-01-01T00:00:00.000,
100110,Ozono,µg/m³,100037,O3 Casalzuigno,VA,Casalzuigno,N         ,2011-01-01T00:00:00.000,
100111,PM10,µg/m³,100037,PM10 Casalzuigno,VA,Casalzuigno,N         ,2011-01-01T00:00:00.000,
100112,Biossido di Azoto,µg/m³,100038,NO2 Casciago,VA,Casciago,N         ,2011-01-01T00:00:00.000,
100113,Ozono,µg/m³,100038,O3 Casciago,VA,Casciago,N         ,2011-01-01T00:00:00.000,
100114,PM10,µg/m³,100038,PM10 Casciago,VA,Casciago,N         ,2011-01-01T00:00:00.000,
100115,Biossido di Azoto,µg/m³,100039,NO2 Casorate Sempione,VA,Casorate Sempione,N         ,2011-01-01T00:00:00.000,
100116,Ozono,µg/m³,100039,O3 Casorate Sempione,VA,Casorate Sempione,N         ,2011-01-01T00:00:00.000,
100117,PM10,µg/m³,100039,PM10 Casorate Sempione,VA,Casorate Sempione,N         ,2011-01-01T00:00:00.000,
100118,Biossido di Azoto,µg/m³,100040,NO2 Cassano Magnago,VA,Cassano Magnago,N         ,2011-01-01T00:00:00.000,
100119,Ozono,µg/m³,100040,O3 Cassano Magnago,VA,Cassano Magnago,N         ,2011-01-01T00:00:00.000,
100120,PM10,µg/m³,100040,PM10 Cassano Magnago,VA,Cassano Magnago,N         ,2011-01-01T00:00:00.000,
100121,Biossido di Azoto,µg/m³,100041,NO2 Cassano Valcuvia,VA,Cassano Valcuvia,N         ,2011-01-01T00:00:00.000,
100122,Ozono,µg/m³,100041,O3 Cassano Valcuvia,VA,Cassano Valcuvia,N         ,2011-01-01T00:00:00.000,
100123,PM10,µg/m³,100041,PM10 Cassano Valcuvia,VA,Cassano Valcuvia,N         ,2011-01-01T00:00:00.000,
100124,Biossido di Azoto,µg/m³,100042,NO2 Castellanza,VA,Castellanza,N         ,2011-01-01T00:00:00.000,
100125,Ozono,µg/m³,100042,O3 Castellanza,VA,Castellanza,N         ,2011-01-01T00:00:00.000,
100126,PM10,µg/m³,100042,PM10 Castellanza,VA,Castellanza,N         ,2011-01-01T00:00:00.000,
100127,Biossido di Azoto,µg/m³,100043,NO2 Castello Cabiaglio,VA,Castello Cabiaglio,N         ,2011-01-01T00:00:00.000,
100128,Ozono,µg/m³,100043,O3 Castello Cabiaglio,VA,Castello Cabiaglio,N         ,2011-01-01T00:00:00.000,
100129,PM10,µg/m³,100043,PM10 Castello Cabiaglio,VA,Castello Cabiaglio,N         ,2011-01-01T00:00:00.000,
100130,Biossido di Azoto,µg/m³,100044,NO2 Castelseprio,VA,Castelseprio,N         ,2011-01-01T00:00:00.000,
100131,Ozono,µg/m³,100044,O3 Castelseprio,VA,Castelseprio,N         ,2011-01-01T00:00:00.000,
100132,PM10,µg/m³,100044,PM10 Castelseprio,VA,Castelseprio,N         ,2011-01-01T00:00:00.000,
100133,Biossido di Azoto,µg/m³,100045,NO2 Castelveccana,VA,Castelveccana,N         ,2011-01-01T00:00:00.000,
100134,Ozono,µg/m³,100045,O3 Castelveccana,VA,Castelveccana,N         ,2011-01-01T00:00:00.000,
100135,PM10,µg/m³,100045,PM10 Castelveccana,VA,Castelveccana,N         ,2011-01-01T00:00:00.000,
