idsensore,nometiposensore,unitamisura,idstazione,sensore,provincia,comune,storico,datastart,datastop,comune_norm
101890,PM10,µg/m³,100576,PM10 Castro,BG,Castro,N         ,2011-01-01T00:00:00.000,,Castro
101891,Biossido di Azoto,µg/m³,100577,NO2 Cavernago,BG,Cavernago,N         ,2011-01-01T00:00:00.000,,Cavernago
101893,PM10,µg/m³,100577,PM10 Cavernago,BG,Cavernago,N         ,2011-01-01T00:00:00.000,,Cavernago
101894,Biossido di Azoto,µg/m³,100578,NO2 Cazzano Sant'Andrea,BG,Cazzano Sant'Andrea,N         ,2011-01-01T00:00:00.000,,Cazzano Sant'Andrea
101895,Biossido di Azoto,µg/m³,100578,NO2 Urbanizzato Cazzano Sant'Andrea,BG,Cazzano Sant'Andrea,N         ,2011-01-01T00:00:00.000,,Cazzano Sant'Andrea
101898,PM10,µg/m³,100578,PM10 Cazzano Sant'Andrea,BG,Cazzano Sant'Andrea,N         ,2011-01-01T00:00:00.000,,Cazzano Sant'Andrea
101899,PM10,µg/m³,100578,PM10 Urbanizzato Cazzano Sant'Andrea,BG,Cazzano Sant'Andrea,N         ,2011-01-01T00:00:00.000,,Cazzano Sant'Andrea
101900,Biossido di Azoto,µg/m³,100579,NO2 Cenate Sopra,BG,Cenate Sopra,N         ,2011-01-01T00:00:00.000,,Cenate Sopra
101902,PM10,µg/m³,100579,PM10 Cenate Sopra,BG,Cenate Sopra,N         ,2011-01-01T00:00:00.000,,Cenate Sopra
101903,Biossido di Azoto,µg/m³,100580,NO2 Cenate Sotto,BG,Cenate Sotto,N         ,2011-01-01T00:00:00.000,,Cenate Sotto
101905,PM10,µg/m³,100580,PM10 Cenate Sotto,BG,Cenate Sotto,N         ,2011-01-01T00:00:00.000,,Cenate Sotto
101906,Biossido di Azoto,µg/m³,100581,NO2 Cene,BG,Cene,N         ,2011-01-01T00:00:00.000,,Cene
101907,Biossido di Azoto,µg/m³,100581,NO2 Urbanizzato Cene,BG,Cene,N         ,2011-01-01T00:00:00.000,,Cene
101910,PM10,µg/m³,100581,PM10 Cene,BG,Cene,N         ,2011-01-01T00:00:00.000,,Cene
101911,PM10,µg/m³,100581,PM10 Urbanizzato Cene,BG,Cene,N         ,2011-01-01T00:00:00.000,,Cene
101912,Biossido di Azoto,µg/m³,100582,NO2 Cerete,BG,Cerete,N         ,2011-01-01T00:00:00.000,,Cerete
101914,PM10,µg/m³,100582,PM10 Cerete,BG,Cerete,N         ,2011-01-01T00:00:00.000,,Cerete
101915,Biossido di Azoto,µg/m³,100583,NO2 Chignolo d'Isola,BG,Chignolo d'Isola,N         ,2011-01-01T00:00:00.000,,Chignolo D'Isola
101917,PM10,µg/m³,100583,PM10 Chignolo d'Isola,BG,Chignolo d'Isola,N         ,2011-01-01T00:00:00.000,,Chignolo D'Isola
101918,Biossido di Azoto,µg/m³,100584,NO2 Chiuduno,BG,Chiuduno,N         ,2011-01-01T00:00:00.000,,Chiuduno
101920,PM10,µg/m³,100584,PM10 Chiuduno,BG,Chiuduno,N         ,2011-01-01T00:00:00.000,,Chiuduno
101921,Biossido di Azoto,µg/m³,100585,NO2 Cisano Bergamasco,BG,Cisano Bergamasco,N         ,2011-01-01T00:00:00.000,,Cisano Bergamasco
101923,PM10,µg/m³,100585,PM10 Cisano Bergamasco,BG,Cisano Bergamasco,N         ,2011-01-01T00:00:00.000,,Cisano Bergamasco
101924,Biossido di Azoto,µg/m³,100586,NO2 Ciserano,BG,Ciserano,N         ,2011-01-01T00:00:00.000,,Ciserano
101926,PM10,µg/m³,100586,PM10 Ciserano,BG,Ciserano,N         ,2011-01-01T00:00:00.000,,Ciserano
101927,Biossido di Azoto,µg/m³,100587,NO2 Cividate al Piano,BG,Cividate al Piano,N         ,2011-01-01T00:00:00.000,,Cividate Al Piano
101929,PM10,µg/m³,100587,PM10 Cividate al Piano,BG,Cividate al Piano,N         ,2011-01-01T00:00:00.000,,Cividate Al Piano
101930,Biossido di Azoto,µg/m³,100588,NO2 Clusone,BG,Clusone,N         ,2011-01-01T00:00:00.000,,Clusone
101931,Biossido di Azoto,µg/m³,100588,NO2 Urbanizzato Clusone,BG,Clusone,N         ,2011-01-01T00:00:00.000,,Clusone
101934,PM10,µg/m³,100588,PM10 Clusone,BG,Clusone,N         ,2011-01-01T00:00:00.000,,Clusone
101935,PM10,µg/m³,100588,PM10 Urbanizzato Clusone,BG,Clusone,N         ,2011-01-01T00:00:00.000,,Clusone
101936,Biossido di Azoto,µg/m³,100589,NO2 Colere,BG,Colere,N         ,2011-01-01T00:00:00.000,,Colere
101938,PM10,µg/m³,100589,PM10 Colere,BG,Colere,N         ,2011-01-01T00:00:00.000,,Colere
101939,Biossido di Azoto,µg/m³,100590,NO2 Cologno al Serio,BG,Cologno al Serio,N         ,2011-01-01T00:00:00.000,,Cologno Al Serio
101941,PM10,µg/m³,100590,PM10 Cologno al Serio,BG,Cologno al Serio,N         ,2011-01-01T00:00:00.000,,Cologno Al Serio
101942,Biossido di Azoto,µg/m³,100591,NO2 Colzate,BG,Colzate,N         ,2011-01-01T00:00:00.000,,Colzate
101943,Biossido di Azoto,µg/m³,100591,NO2 Urbanizzato Colzate,BG,Colzate,N         ,2011-01-01T00:00:00.000,,Colzate
101946,PM10,µg/m³,100591,PM10 Colzate,BG,Colzate,N         ,2011-01-01T00:00:00.000,,Colzate
101947,PM10,µg/m³,100591,PM10 Urbanizzato Colzate,BG,Colzate,N         ,2011-01-01T00:00:00.000,,Colzate
101948,Biossido di Azoto,µg/m³,100592,NO2 Comun Nuovo,BG,Comun Nuovo,N         ,2011-01-01T00:00:00.000,,Comun Nuovo
101950,PM10,µg/m³,100592,PM10 Comun Nuovo,BG,Comun Nuovo,N         ,2011-01-01T00:00:00.000,,Comun Nuovo
101951,Biossido di Azoto,µg/m³,100593,NO2 Corna Imagna,BG,Corna Imagna,N         ,2011-01-01T00:00:00.000,,Corna Imagna
101952,Biossido di Azoto,µg/m³,100593,NO2 Urbanizzato Corna Imagna,BG,Corna Imagna,N         ,2011-01-01T00:00:00.000,,Corna Imagna
101955,PM10,µg/m³,100593,PM10 Corna Imagna,BG,Corna Imagna,N         ,2011-01-01T00:00:00.000,,Corna Imagna
101956,PM10,µg/m³,100593,PM10 Urbanizzato Corna Imagna,BG,Corna Imagna,N         ,2011-01-01T00:00:00.000,,Corna Imagna
101957,Biossido di Azoto,µg/m³,100594,NO2 Cortenuova,BG,Cortenuova,N         ,2011-01-01T00:00:00.000,,Cortenuova
101959,PM10,µg/m³,100594,PM10 Cortenuova,BG,Cortenuova,N         ,2011-01-01T00:00:00.000,,Cortenuova
101960,Biossido di Azoto,µg/m³,100595,NO2 Costa di Mezzate,BG,Costa di Mezzate,N         ,2011-01-01T00:00:00.000,,Costa Di Mezzate
101962,PM10,µg/m³,100595,PM10 Costa di Mezzate,BG,Costa di Mezzate,N         ,2011-01-01T00:00:00.000,,Costa Di Mezzate
101963,Biossido di Azoto,µg/m³,100596,NO2 Costa Valle Imagna,BG,Costa Valle Imagna,N         ,2011-01-01T00:00:00.000,,Costa Valle Imagna
101965,PM10,µg/m³,100596,PM10 Costa Valle Imagna,BG,Costa Valle Imagna,N         ,2011-01-01T00:00:00.000,,Costa Valle Imagna
101966,Biossido di Azoto,µg/m³,100597,NO2 Costa Volpino,BG,Costa Volpino,N         ,2011-01-01T00:00:00.000,,Costa Volpino
101967,Biossido di Azoto,µg/m³,100597,NO2 Urbanizzato Costa Volpino,BG,Costa Volpino,N         ,2011-01-01T00:00:00.000,,Costa Volpino
101970,PM10,µg/m³,100597,PM10 Costa Volpino,BG,Costa Volpino,N         ,2011-01-01T00:00:00.000,,Costa Volpino
101971,PM10,µg/m³,100597,PM10 Urbanizzato Costa Volpino,BG,Costa Volpino,N         ,2011-01-01T00:00:00.000,,Costa Volpino
101972,Biossido di Azoto,µg/m³,100598,NO2 Covo,BG,Covo,N         ,2011-01-01T00:00:00.000,,Covo
101974,PM10,µg/m³,100598,PM10 Covo,BG,Covo,N         ,2011-01-01T00:00:00.000,,Covo
101975,Biossido di Azoto,µg/m³,100599,NO2 Credaro,BG,Credaro,N         ,2011-01-01T00:00:00.000,,Credaro
101977,PM10,µg/m³,100599,PM10 Credaro,BG,Credaro,N         ,2011-01-01T00:00:00.000,,Credaro
101978,Biossido di Azoto,µg/m³,100600,NO2 Curno,BG,Curno,N         ,2011-01-01T00:00:00.000,,Curno
101980,PM10,µg/m³,100600,PM10 Curno,BG,Curno,N         ,2011-01-01T00:00:00.000,,Curno
101981,Biossido di Azoto,µg/m³,100601,NO2 Cusio,BG,Cusio,N         ,2011-01-01T00:00:00.000,,Cusio
101983,PM10,µg/m³,100601,PM10 Cusio,BG,Cusio,N         ,2011-01-01T00:00:00.000,,Cusio
101984,Biossido di Azoto,µg/m³,100602,NO2 Dalmine,BG,Dalmine,N         ,2011-01-01T00:00:00.000,,Dalmine
101986,PM10,µg/m³,100602,PM10 Dalmine,BG,Dalmine,N         ,2011-01-01T00:00:00.000,,Dalmine
101987,Biossido di Azoto,µg/m³,100603,NO2 Dossena,BG,Dossena,N         ,2011-01-01T00:00:00.000,,Dossena
101989,PM10,µg/m³,100603,PM10 Dossena,BG,Dossena,N         ,2011-01-01T00:00:00.000,,Dossena
101990,Biossido di Azoto,µg/m³,100604,NO2 Endine Gaiano,BG,Endine Gaiano,N         ,2011-01-01T00:00:00.000,,Endine Gaiano
101992,PM10,µg/m³,100604,PM10 Endine Gaiano,BG,Endine Gaiano,N         ,2011-01-01T00:00:00.000,,Endine Gaiano
101993,Biossido di Azoto,µg/m³,100605,NO2 Entratico,BG,Entratico,N         ,2011-01-01T00:00:00.000,,Entratico
101995,PM10,µg/m³,100605,PM10 Entratico,BG,Entratico,N         ,2011-01-01T00:00:00.000,,Entratico
101996,Biossido di Azoto,µg/m³,100606,NO2 Fara Gera d'Adda,BG,Fara Gera d'Adda,N         ,2011-01-01T00:00:00.000,,Fara Gera D'Adda
101998,PM10,µg/m³,100606,PM10 Fara Gera d'Adda,BG,Fara Gera d'Adda,N         ,2011-01-01T00:00:00.000,,Fara Gera D'Adda
101999,Biossido di Azoto,µg/m³,100607,NO2 Fara Olivana con Sola,BG,Fara Olivana con Sola,N         ,2011-01-01T00:00:00.000,,Fara Olivana Con Sola
102001,PM10,µg/m³,100607,PM10 Fara Olivana con Sola,BG,Fara Olivana con Sola,N         ,2011-01-01T00:00:00.000,,Fara Olivana Con Sola
102002,Biossido di Azoto,µg/m³,100608,NO2 Filago,BG,Filago,N         ,2011-01-01T00:00:00.000,,Filago
102004,PM10,µg/m³,100608,PM10 Filago,BG,Filago,N         ,2011-01-01T00:00:00.000,,Filago
102005,Biossido di Azoto,µg/m³,100609,NO2 Fino del Monte,BG,Fino del Monte,N         ,2011-01-01T00:00:00.000,,Fino Del Monte
102007,PM10,µg/m³,100609,PM10 Fino del Monte,BG,Fino del Monte,N         ,2011-01-01T00:00:00.000,,Fino Del Monte
102008,Biossido di Azoto,µg/m³,100610,NO2 Fiorano al Serio,BG,Fiorano al Serio,N         ,2011-01-01T00:00:00.000,,Fiorano Al Serio
102009,Biossido di Azoto,µg/m³,100610,NO2 Urbanizzato Fiorano al Serio,BG,Fiorano al Serio,N         ,2011-01-01T00:00:00.000,,Fiorano Al Serio
102012,PM10,µg/m³,100610,PM10 Fiorano al Serio,BG,Fiorano al Serio,N         ,2011-01-01T00:00:00.000,,Fiorano Al Serio
102013,PM10,µg/m³,100610,PM10 Urbanizzato Fiorano al Serio,BG,Fiorano al Serio,N         ,2011-01-01T00:00:00.000,,Fiorano Al Serio
102014,Biossido di Azoto,µg/m³,100611,NO2 Fontanella,BG,Fontanella,N         ,2011-01-01T00:00:00.000,,Fontanella
102016,PM10,µg/m³,100611,PM10 Fontanella,BG,Fontanella,N         ,2011-01-01T00:00:00.000,,Fontanella
102017,Biossido di Azoto,µg/m³,100612,NO2 Fonteno,BG,Fonteno,N         ,2011-01-01T00:00:00.000,,Fonteno
102019,PM10,µg/m³,100612,PM10 Fonteno,BG,Fonteno,N         ,2011-01-01T00:00:00.000,,Fonteno
102020,Biossido di Azoto,µg/m³,100613,NO2 Foppolo,BG,Foppolo,N         ,2011-01-01T00:00:00.000,,Foppolo
102022,PM10,µg/m³,100613,PM10 Foppolo,BG,Foppolo,N         ,2011-01-01T00:00:00.000,,Foppolo
102023,Biossido di Azoto,µg/m³,100614,NO2 Foresto Sparso,BG,Foresto Sparso,N         ,2011-01-01T00:00:00.000,,Foresto Sparso
102025,PM10,µg/m³,100614,PM10 Foresto Sparso,BG,Foresto Sparso,N         ,2011-01-01T00:00:00.000,,Foresto Sparso
102026,Biossido di Azoto,µg/m³,100615,NO2 Fornovo San Giovanni,BG,Fornovo San Giovanni,N         ,2011-01-01T00:00:00.000,,Fornovo San Giovanni
102028,PM10,µg/m³,100615,PM10 Fornovo San Giovanni,BG,Fornovo San Giovanni,N         ,2011-01-01T00:00:00.000,,Fornovo San Giovanni
102029,Biossido di Azoto,µg/m³,100616,NO2 Fuipiano Valle Imagna,BG,Fuipiano Valle Imagna,N         ,2011-01-01T00:00:00.000,,Fuipiano Valle Imagna
102031,PM10,µg/m³,100616,PM10 Fuipiano Valle Imagna,BG,Fuipiano Valle Imagna,N         ,2011-01-01T00:00:00.000,,Fuipiano Valle Imagna
102032,Biossido di Azoto,µg/m³,100617,NO2 Gandellino,BG,Gandellino,N         ,2011-01-01T00:00:00.000,,Gandellino
102034,PM10,µg/m³,100617,PM10 Gandellino,BG,Gandellino,N         ,2011-01-01T00:00:00.000,,Gandellino
102035,Biossido di Azoto,µg/m³,100618,NO2 Gandino,BG,Gandino,N         ,2011-01-01T00:00:00.000,,Gandino
102036,Biossido di Azoto,µg/m³,100618,NO2 Urbanizzato Gandino,BG,Gandino,N         ,2011-01-01T00:00:00.000,,Gandino
102039,PM10,µg/m³,100618,PM10 Gandino,BG,Gandino,N         ,2011-01-01T00:00:00.000,,Gandino
102040,PM10,µg/m³,100618,PM10 Urbanizzato Gandino,BG,Gandino,N         ,2011-01-01T00:00:00.000,,Gandino
102041,Biossido di Azoto,µg/m³,100619,NO2 Gandosso,BG,Gandosso,N         ,2011-01-01T00:00:00.000,,Gandosso
102043,PM10,µg/m³,100619,PM10 Gandosso,BG,Gandosso,N         ,2011-01-01T00:00:00.000,,Gandosso
102044,Biossido di Azoto,µg/m³,100620,NO2 Gaverina Terme,BG,Gaverina Terme,N         ,2011-01-01T00:00:00.000,,Gaverina Terme
102046,PM10,µg/m³,100620,PM10 Gaverina Terme,BG,Gaverina Terme,N         ,2011-01-01T00:00:00.000,,Gaverina Terme
102047,Biossido di Azoto,µg/m³,100621,NO2 Gazzaniga,BG,Gazzaniga,N         ,2011-01-01T00:00:00.000,,Gazzaniga
102048,Biossido di Azoto,µg/m³,100621,NO2 Urbanizzato Gazzaniga,BG,Gazzaniga,N         ,2011-01-01T00:00:00.000,,Gazzaniga
102051,PM10,µg/m³,100621,PM10 Gazzaniga,BG,Gazzaniga,N         ,2011-01-01T00:00:00.000,,Gazzaniga
102052,PM10,µg/m³,100621,PM10 Urbanizzato Gazzaniga,BG,Gazzaniga,N         ,2011-01-01T00:00:00.000,,Gazzaniga
102053,Biossido di Azoto,µg/m³,100622,NO2 Gerosa,BG,Gerosa,S         ,2011-01-01T00:00:00.000,2016-12-31T00:00:00.000,Gerosa
102055,PM10,µg/m³,100622,PM10 Gerosa,BG,Gerosa,S         ,2011-01-01T00:00:00.000,2017-10-31T00:00:00.000,Gerosa
102056,Biossido di Azoto,µg/m³,100623,NO2 Ghisalba,BG,Ghisalba,N         ,2011-01-01T00:00:00.000,,Ghisalba
102058,PM10,µg/m³,100623,PM10 Ghisalba,BG,Ghisalba,N         ,2011-01-01T00:00:00.000,,Ghisalba
102059,Biossido di Azoto,µg/m³,100624,NO2 Gorlago,BG,Gorlago,N         ,2011-01-01T00:00:00.000,,Gorlago
102061,PM10,µg/m³,100624,PM10 Gorlago,BG,Gorlago,N         ,2011-01-01T00:00:00.000,,Gorlago
102062,Biossido di Azoto,µg/m³,100625,NO2 Gorle,BG,Gorle,N         ,2011-01-01T00:00:00.000,,Gorle
102064,PM10,µg/m³,100625,PM10 Gorle,BG,Gorle,N         ,2011-01-01T00:00:00.000,,Gorle
102065,Biossido di Azoto,µg/m³,100626,NO2 Gorno,BG,Gorno,N         ,2011-01-01T00:00:00.000,,Gorno
102067,PM10,µg/m³,100626,PM10 Gorno,BG,Gorno,N         ,2011-01-01T00:00:00.000,,Gorno
102068,Biossido di Azoto,µg/m³,100627,NO2 Grassobbio,BG,Grassobbio,N         ,2011-01-01T00:00:00.000,,Grassobbio
102070,PM10,µg/m³,100627,PM10 Grassobbio,BG,Grassobbio,N         ,2011-01-01T00:00:00.000,,Grassobbio
102071,Biossido di Azoto,µg/m³,100628,NO2 Gromo,BG,Gromo,N         ,2011-01-01T00:00:00.000,,Gromo
102073,PM10,µg/m³,100628,PM10 Gromo,BG,Gromo,N         ,2011-01-01T00:00:00.000,,Gromo
102074,Biossido di Azoto,µg/m³,100629,NO2 Grone,BG,Grone,N         ,2011-01-01T00:00:00.000,,Grone
102076,PM10,µg/m³,100629,PM10 Grone,BG,Grone,N         ,2011-01-01T00:00:00.000,,Grone
102077,Biossido di Azoto,µg/m³,100630,NO2 Grumello del Monte,BG,Grumello del Monte,N         ,2011-01-01T00:00:00.000,,Grumello Del Monte
102079,PM10,µg/m³,100630,PM10 Grumello del Monte,BG,Grumello del Monte,N         ,2011-01-01T00:00:00.000,,Grumello Del Monte
102080,Biossido di Azoto,µg/m³,100631,NO2 Isola di Fondra,BG,Isola di Fondra,N         ,2011-01-01T00:00:00.000,,Isola Di Fondra
102082,PM10,µg/m³,100631,PM10 Isola di Fondra,BG,Isola di Fondra,N         ,2011-01-01T00:00:00.000,,Isola Di Fondra
102083,Biossido di Azoto,µg/m³,100632,NO2 Isso,BG,Isso,N         ,2011-01-01T00:00:00.000,,Isso
102085,PM10,µg/m³,100632,PM10 Isso,BG,Isso,N         ,2011-01-01T00:00:00.000,,Isso
102086,Biossido di Azoto,µg/m³,100633,NO2 Lallio,BG,Lallio,N         ,2011-01-01T00:00:00.000,,Lallio
102088,PM10,µg/m³,100633,PM10 Lallio,BG,Lallio,N         ,2011-01-01T00:00:00.000,,Lallio
102089,Biossido di Azoto,µg/m³,100634,NO2 Leffe,BG,Leffe,N         ,2011-01-01T00:00:00.000,,Leffe
102090,Biossido di Azoto,µg/m³,100634,NO2 Urbanizzato Leffe,BG,Leffe,N         ,2011-01-01T00:00:00.000,,Leffe
102093,PM10,µg/m³,100634,PM10 Leffe,BG,Leffe,N         ,2011-01-01T00:00:00.000,,Leffe
102094,PM10,µg/m³,100634,PM10 Urbanizzato Leffe,BG,Leffe,N         ,2011-01-01T00:00:00.000,,Leffe
102095,Biossido di Azoto,µg/m³,100635,NO2 Lenna,BG,Lenna,N         ,2011-01-01T00:00:00.000,,Lenna
102096,Biossido di Azoto,µg/m³,100635,NO2 Urbanizzato Lenna,BG,Lenna,N         ,2011-01-01T00:00:00.000,,Lenna
102099,PM10,µg/m³,100635,PM10 Lenna,BG,Lenna,N         ,2011-01-01T00:00:00.000,,Lenna
102100,PM10,µg/m³,100635,PM10 Urbanizzato Lenna,BG,Lenna,N         ,2011-01-01T00:00:00.000,,Lenna
102101,Biossido di Azoto,µg/m³,100636,NO2 Levate,BG,Levate,N         ,2011-01-01T00:00:00.000,,Levate
102103,PM10,µg/m³,100636,PM10 Levate,BG,Levate,N         ,2011-01-01T00:00:00.000,,Levate
102104,Biossido di Azoto,µg/m³,100637,NO2 Locatello,BG,Locatello,N         ,2011-01-01T00:00:00.000,,Locatello
102105,Biossido di Azoto,µg/m³,100637,NO2 Urbanizzato Locatello,BG,Locatello,N         ,2011-01-01T00:00:00.000,,Locatello
102108,PM10,µg/m³,100637,PM10 Locatello,BG,Locatello,N         ,2011-01-01T00:00:00.000,,Locatello
102109,PM10,µg/m³,100637,PM10 Urbanizzato Locatello,BG,Locatello,N         ,2011-01-01T00:00:00.000,,Locatello
102110,Biossido di Azoto,µg/m³,100638,NO2 Lovere,BG,Lovere,N         ,2011-01-01T00:00:00.000,,Lovere
102112,PM10,µg/m³,100638,PM10 Lovere,BG,Lovere,N         ,2011-01-01T00:00:00.000,,Lovere
102113,Biossido di Azoto,µg/m³,100639,NO2 Lurano,BG,Lurano,N         ,2011-01-01T00:00:00.000,,Lurano
102115,PM10,µg/m³,100639,PM10 Lurano,BG,Lurano,N         ,2011-01-01T00:00:00.000,,Lurano
102116,Biossido di Azoto,µg/m³,100640,NO2 Luzzana,BG,Luzzana,N         ,2011-01-01T00:00:00.000,,Luzzana
102118,PM10,µg/m³,100640,PM10 Luzzana,BG,Luzzana,N         ,2011-01-01T00:00:00.000,,Luzzana
102119,Biossido di Azoto,µg/m³,100641,NO2 Madone,BG,Madone,N         ,2011-01-01T00:00:00.000,,Madone
102121,PM10,µg/m³,100641,PM10 Madone,BG,Madone,N         ,2011-01-01T00:00:00.000,,Madone
102122,Biossido di Azoto,µg/m³,100642,NO2 Mapello,BG,Mapello,N         ,2011-01-01T00:00:00.000,,Mapello
102124,PM10,µg/m³,100642,PM10 Mapello,BG,Mapello,N         ,2011-01-01T00:00:00.000,,Mapello
102125,Biossido di Azoto,µg/m³,100643,NO2 Martinengo,BG,Martinengo,N         ,2011-01-01T00:00:00.000,,Martinengo
102127,PM10,µg/m³,100643,PM10 Martinengo,BG,Martinengo,N         ,2011-01-01T00:00:00.000,,Martinengo
102128,Biossido di Azoto,µg/m³,100644,NO2 Mezzoldo,BG,Mezzoldo,N         ,2011-01-01T00:00:00.000,,Mezzoldo
102130,PM10,µg/m³,100644,PM10 Mezzoldo,BG,Mezzoldo,N         ,2011-01-01T00:00:00.000,,Mezzoldo
102131,Biossido di Azoto,µg/m³,100645,NO2 Misano di Gera d'Adda,BG,Misano di Gera d'Adda,N         ,2011-01-01T00:00:00.000,,Misano Di Gera D'Adda
102133,PM10,µg/m³,100645,PM10 Misano di Gera d'Adda,BG,Misano di Gera d'Adda,N         ,2011-01-01T00:00:00.000,,Misano Di Gera D'Adda
102134,Biossido di Azoto,µg/m³,100646,NO2 Moio de' Calvi,BG,Moio de' Calvi,N         ,2011-01-01T00:00:00.000,,Moio De' Calvi
102136,PM10,µg/m³,100646,PM10 Moio de' Calvi,BG,Moio de' Calvi,N         ,2011-01-01T00:00:00.000,,Moio De' Calvi
102137,Biossido di Azoto,µg/m³,100647,NO2 Monasterolo del Castello,BG,Monasterolo del Castello,N         ,2011-01-01T00:00:00.000,,Monasterolo Del Castello
102139,PM10,µg/m³,100647,PM10 Monasterolo del Castello,BG,Monasterolo del Castello,N         ,2011-01-01T00:00:00.000,,Monasterolo Del Castello
102140,Biossido di Azoto,µg/m³,100648,NO2 Montello,BG,Montello,N         ,2011-01-01T00:00:00.000,,Montello
102142,PM10,µg/m³,100648,PM10 Montello,BG,Montello,N         ,2011-01-01T00:00:00.000,,Montello
102143,Biossido di Azoto,µg/m³,100649,NO2 Morengo,BG,Morengo,N         ,2011-01-01T00:00:00.000,,Morengo
102145,PM10,µg/m³,100649,PM10 Morengo,BG,Morengo,N         ,2011-01-01T00:00:00.000,,Morengo
102146,Biossido di Azoto,µg/m³,100650,NO2 Mornico al Serio,BG,Mornico al Serio,N         ,2011-01-01T00:00:00.000,,Mornico Al Serio
102148,PM10,µg/m³,100650,PM10 Mornico al Serio,BG,Mornico al Serio,N         ,2011-01-01T00:00:00.000,,Mornico Al Serio
102149,Biossido di Azoto,µg/m³,100651,NO2 Mozzanica,BG,Mozzanica,N         ,2011-01-01T00:00:00.000,,Mozzanica
102151,PM10,µg/m³,100651,PM10 Mozzanica,BG,Mozzanica,N         ,2011-01-01T00:00:00.000,,Mozzanica
102152,Biossido di Azoto,µg/m³,100652,NO2 Mozzo,BG,Mozzo,N         ,2011-01-01T00:00:00.000,,Mozzo
102154,PM10,µg/m³,100652,PM10 Mozzo,BG,Mozzo,N         ,2011-01-01T00:00:00.000,,Mozzo
102155,Biossido di Azoto,µg/m³,100653,NO2 Nembro,BG,Nembro,N         ,2011-01-01T00:00:00.000,,Nembro
102157,PM10,µg/m³,100653,PM10 Nembro,BG,Nembro,N         ,2011-01-01T00:00:00.000,,Nembro
102158,Biossido di Azoto,µg/m³,100654,NO2 Olmo al Brembo,BG,Olmo al Brembo,N         ,2011-01-01T00:00:00.000,,Olmo Al Brembo
102160,PM10,µg/m³,100654,PM10 Olmo al Brembo,BG,Olmo al Brembo,N         ,2011-01-01T00:00:00.000,,Olmo Al Brembo
102161,Biossido di Azoto,µg/m³,100655,NO2 Oltre il Colle,BG,Oltre il Colle,N         ,2011-01-01T00:00:00.000,,Oltre Il Colle
102163,PM10,µg/m³,100655,PM10 Oltre il Colle,BG,Oltre il Colle,N         ,2011-01-01T00:00:00.000,,Oltre Il Colle
102164,Biossido di Azoto,µg/m³,100656,NO2 Oltressenda Alta,BG,Oltressenda Alta,N         ,2011-01-01T00:00:00.000,,Oltressenda Alta
102166,PM10,µg/m³,100656,PM10 Oltressenda Alta,BG,Oltressenda Alta,N         ,2011-01-01T00:00:00.000,,Oltressenda Alta
102167,Biossido di Azoto,µg/m³,100657,NO2 Oneta,BG,Oneta,N         ,2011-01-01T00:00:00.000,,Oneta
102169,PM10,µg/m³,100657,PM10 Oneta,BG,Oneta,N         ,2011-01-01T00:00:00.000,,Oneta
102170,Biossido di Azoto,µg/m³,100658,NO2 Onore,BG,Onore,N         ,2011-01-01T00:00:00.000,,Onore
102172,PM10,µg/m³,100658,PM10 Onore,BG,Onore,N         ,2011-01-01T00:00:00.000,,Onore
102173,Biossido di Azoto,µg/m³,100659,NO2 Orio al Serio,BG,Orio al Serio,N         ,2011-01-01T00:00:00.000,,Orio Al Serio
102175,PM10,µg/m³,100659,PM10 Orio al Serio,BG,Orio al Serio,N         ,2011-01-01T00:00:00.000,,Orio Al Serio
102176,Biossido di Azoto,µg/m³,100660,NO2 Ornica,BG,Ornica,N         ,2011-01-01T00:00:00.000,,Ornica
102178,PM10,µg/m³,100660,PM10 Ornica,BG,Ornica,N         ,2011-01-01T00:00:00.000,,Ornica
102179,Biossido di Azoto,µg/m³,100661,NO2 Osio Sopra,BG,Osio Sopra,N         ,2011-01-01T00:00:00.000,,Osio Sopra
102181,PM10,µg/m³,100661,PM10 Osio Sopra,BG,Osio Sopra,N         ,2011-01-01T00:00:00.000,,Osio Sopra
102182,Biossido di Azoto,µg/m³,100662,NO2 Osio Sotto,BG,Osio Sotto,N         ,2011-01-01T00:00:00.000,,Osio Sotto
102184,PM10,µg/m³,100662,PM10 Osio Sotto,BG,Osio Sotto,N         ,2011-01-01T00:00:00.000,,Osio Sotto
102185,Biossido di Azoto,µg/m³,100663,NO2 Pagazzano,BG,Pagazzano,N         ,2011-01-01T00:00:00.000,,Pagazzano
102187,PM10,µg/m³,100663,PM10 Pagazzano,BG,Pagazzano,N         ,2011-01-01T00:00:00.000,,Pagazzano
102188,Biossido di Azoto,µg/m³,100664,NO2 Paladina,BG,Paladina,N         ,2011-01-01T00:00:00.000,,Paladina
102190,PM10,µg/m³,100664,PM10 Paladina,BG,Paladina,N         ,2011-01-01T00:00:00.000,,Paladina
102191,Biossido di Azoto,µg/m³,100665,NO2 Palazzago,BG,Palazzago,N         ,2011-01-01T00:00:00.000,,Palazzago
102193,PM10,µg/m³,100665,PM10 Palazzago,BG,Palazzago,N         ,2011-01-01T00:00:00.000,,Palazzago
102194,Biossido di Azoto,µg/m³,100666,NO2 Palosco,BG,Palosco,N         ,2011-01-01T00:00:00.000,,Palosco
