idsensore,nometiposensore,unitamisura,idstazione,sensore,provincia,comune,storico,datastart,datastop,comune_norm
105695,Particelle sospese PM2.5,µg/m³,100669,PM2.5 Pedrengo,BG,Pedrengo,N         ,2016-01-01T00:00:00.000,,Pedrengo
105696,Particelle sospese PM2.5,µg/m³,100670,PM2.5 Peia,BG,Peia,N         ,2016-01-01T00:00:00.000,,Peia
105697,Particelle sospese PM2.5,µg/m³,100671,PM2.5 Pianico,BG,Pianico,N         ,2016-01-01T00:00:00.000,,Pianico
105698,Particelle sospese PM2.5,µg/m³,100672,PM2.5 Piario,BG,Piario,N         ,2016-01-01T00:00:00.000,,Piario
105699,Particelle sospese PM2.5,µg/m³,100672,PM2.5 Urbanizzato Piario,BG,Piario,N         ,2016-01-01T00:00:00.000,,Piario
105700,Particelle sospese PM2.5,µg/m³,100673,PM2.5 Piazza Brembana,BG,Piazza Brembana,N         ,2016-01-01T00:00:00.000,,Piazza Brembana
105701,Particelle sospese PM2.5,µg/m³,100673,PM2.5 Urbanizzato Piazza Brembana,BG,Piazza Brembana,N         ,2016-01-01T00:00:00.000,,Piazza Brembana
105702,Particelle sospese PM2.5,µg/m³,100674,PM2.5 Piazzatorre,BG,Piazzatorre,N         ,2016-01-01T00:00:00.000,,Piazzatorre
105703,Particelle sospese PM2.5,µg/m³,100675,PM2.5 Piazzolo,BG,Piazzolo,N         ,2016-01-01T00:00:00.000,,Piazzolo
105704,Particelle sospese PM2.5,µg/m³,100676,PM2.5 Pognano,BG,Pognano,N         ,2016-01-01T00:00:00.000,,Pognano
105705,Particelle sospese PM2.5,µg/m³,100677,PM2.5 Ponte Nossa,BG,Ponte Nossa,N         ,2016-01-01T00:00:00.000,,Ponte Nossa
105706,Particelle sospese PM2.5,µg/m³,100677,PM2.5 Urbanizzato Ponte Nossa,BG,Ponte Nossa,N         ,2016-01-01T00:00:00.000,,Ponte Nossa
105707,Particelle sospese PM2.5,µg/m³,100678,PM2.5 Ponteranica,BG,Ponteranica,N         ,2016-01-01T00:00:00.000,,Ponteranica
105708,Particelle sospese PM2.5,µg/m³,100679,PM2.5 Ponte San Pietro,BG,Ponte San Pietro,N         ,2016-01-01T00:00:00.000,,Ponte San Pietro
105709,Particelle sospese PM2.5,µg/m³,100680,PM2.5 Pontida,BG,Pontida,N         ,2016-01-01T00:00:00.000,,Pontida
105710,Particelle sospese PM2.5,µg/m³,100681,PM2.5 Pontirolo Nuovo,BG,Pontirolo Nuovo,N         ,2016-01-01T00:00:00.000,,Pontirolo Nuovo
105711,Particelle sospese PM2.5,µg/m³,100682,PM2.5 Pradalunga,BG,Pradalunga,N         ,2016-01-01T00:00:00.000,,Pradalunga
105712,Particelle sospese PM2.5,µg/m³,100683,PM2.5 Predore,BG,Predore,N         ,2016-01-01T00:00:00.000,,Predore
105713,Particelle sospese PM2.5,µg/m³,100684,PM2.5 Premolo,BG,Premolo,N         ,2016-01-01T00:00:00.000,,Premolo
105714,Particelle sospese PM2.5,µg/m³,100685,PM2.5 Presezzo,BG,Presezzo,N         ,2016-01-01T00:00:00.000,,Presezzo
105715,Particelle sospese PM2.5,µg/m³,100686,PM2.5 Pumenengo,BG,Pumenengo,N         ,2016-01-01T00:00:00.000,,Pumenengo
