STAGIONE,SETTIMANA,ORDINE,ILI_NORM,TEMP_lag2,HUMIDITY_lag1,PM25_lag1,PM10_lag1,NO2_lag1,ILI_NORM_lag1
25-26,51,4,8.021038790269559,8.205,83.89,38.76,48.894999999999996,51.761999999999986,7.791411042944785
25-26,52,5,9.236031927023944,8.094999999999999,93.254,31.856666666666666,37.7525,42.690000000000005,8.021038790269559
25-26,1,6,6.8213693739640435,8.805,86.966,16.76,19.355,35.239999999999995,9.236031927023944
25-26,2,7,4.675675675675675,7.148333333333333,86.72999999999999,51.330000000000005,61.965,42.300000000000004,6.8213693739640435
25-26,3,8,4.10117176336096,3.293333333333333,71.41,34.52,41.6425,51.324,4.675675675675675
25-26,4,9,4.143840427026268,2.0183333333333335,84.81800000000001,41.38,48.2825,48.072,4.10117176336096
25-26,5,10,4.314516129032258,6.4316666666666675,82.20599999999999,33.71666666666667,41.0,44.768,4.143840427026268
25-26,6,11,3.42241614398691,4.3549999999999995,92.48400000000001,28.570000000000004,34.75,43.172000000000004,4.314516129032258
25-26,7,12,3.89363722697056,5.653333333333332,93.292,24.143333333333334,27.5575,42.019999999999996,3.42241614398691
25-26,8,13,3.2523672293124744,7.1066666666666665,86.36000000000001,19.523333333333333,24.964999999999996,40.386,3.89363722697056
25-26,9,14,3.6171916711158567,9.38,69.302,17.666666666666668,23.6725,41.907999999999994,3.2523672293124744
25-26,10,15,3.8968019349637193,9.1,81.256,37.23666666666667,49.357499999999995,41.976,3.6171916711158567
25-26,11,16,3.6056718433490884,11.601666666666667,79.58800000000001,39.95333333333333,52.57,37.88,3.8968019349637193
25-26,12,17,3.6074270557029178,11.56,80.67999999999999,34.093333333333334,41.427499999999995,35.082,3.6056718433490884
25-26,13,18,3.4451378055122204,12.056666666666665,48.690000000000005,14.43,20.177500000000002,30.564,3.6074270557029178
25-26,14,19,3.3917977817900438,12.473333333333331,38.297999999999995,12.42,19.36,34.480000000000004,3.4451378055122204
25-26,15,20,3.4444444444444446,12.548333333333334,31.208,10.556666666666667,19.75,32.854,3.3917977817900438
