giorno,ATS,parametro,valore_medio,n_misure
2021-01-29,ATS_Montagna,PM10,63.17,6
2021-01-29,ATS_Montagna,PM25,44.33,3
2021-01-30,ATS_Bergamo,NO2,42.8,212
2021-01-30,ATS_Bergamo,PM10,36.75,8
2021-01-30,ATS_Bergamo,PM25,28.4,5
2021-01-30,ATS_Montagna,NO2,39.84,192
2021-01-30,ATS_Montagna,PM10,47.57,7
2021-01-30,ATS_Montagna,PM25,35.67,3
2021-01-31,ATS_Bergamo,NO2,28.87,192
2021-01-31,ATS_Bergamo,PM10,32.25,8
2021-01-31,ATS_Bergamo,PM25,25.0,5
2021-01-31,ATS_Montagna,NO2,27.02,191
2021-01-31,ATS_Montagna,PM10,43.43,7
2021-01-31,ATS_Montagna,PM25,35.67,3
2021-02-01,ATS_Bergamo,NO2,32.03,188
2021-02-01,ATS_Bergamo,PM10,27.62,8
2021-02-01,ATS_Bergamo,PM25,20.2,5
2021-02-01,ATS_Montagna,NO2,27.94,192
2021-02-01,ATS_Montagna,PM10,31.43,7
2021-02-01,ATS_Montagna,PM25,26.67,3
2021-02-02,ATS_Bergamo,NO2,40.93,180
2021-02-02,ATS_Bergamo,PM10,48.43,7
2021-02-02,ATS_Bergamo,PM25,37.2,5
2021-02-02,ATS_Montagna,NO2,32.73,177
2021-02-02,ATS_Montagna,PM10,41.86,7
2021-02-02,ATS_Montagna,PM25,28.33,3
2021-02-03,ATS_Bergamo,NO2,41.87,202
2021-02-03,ATS_Bergamo,PM10,53.0,8
2021-02-03,ATS_Bergamo,PM25,39.0,5
2021-02-03,ATS_Montagna,NO2,35.49,168
2021-02-03,ATS_Montagna,PM10,45.71,7
2021-02-03,ATS_Montagna,PM25,32.67,3
2021-02-04,ATS_Bergamo,NO2,43.13,216
2021-02-04,ATS_Bergamo,PM10,38.5,8
2021-02-04,ATS_Bergamo,PM25,29.6,5
2021-02-04,ATS_Montagna,NO2,36.86,168
2021-02-04,ATS_Montagna,PM10,37.17,6
2021-02-04,ATS_Montagna,PM25,30.0,3
2021-02-05,ATS_Bergamo,NO2,39.76,214
2021-02-05,ATS_Bergamo,PM10,52.5,8
2021-02-05,ATS_Bergamo,PM25,38.2,5
2021-02-05,ATS_Montagna,NO2,37.61,174
2021-02-05,ATS_Montagna,PM10,59.0,7
2021-02-05,ATS_Montagna,PM25,42.67,3
2021-02-06,ATS_Bergamo,NO2,35.93,216
2021-02-06,ATS_Bergamo,PM10,51.88,8
2021-02-06,ATS_Bergamo,PM25,37.2,5
2021-02-06,ATS_Montagna,NO2,30.95,192
2021-02-06,ATS_Montagna,PM10,54.43,7
2021-02-06,ATS_Montagna,PM25,38.67,3
2021-02-07,ATS_Bergamo,NO2,27.24,216
2021-02-07,ATS_Bergamo,PM10,26.57,7
2021-02-07,ATS_Bergamo,PM25,18.0,5
2021-02-07,ATS_Montagna,NO2,17.84,191
2021-02-07,ATS_Montagna,PM10,22.14,7
2021-02-07,ATS_Montagna,PM25,19.67,3
2021-02-08,ATS_Bergamo,NO2,29.47,216
2021-02-08,ATS_Bergamo,PM10,12.62,8
2021-02-08,ATS_Bergamo,PM25,9.2,5
2021-02-08,ATS_Montagna,NO2,25.21,189
2021-02-08,ATS_Montagna,PM10,17.71,7
2021-02-08,ATS_Montagna,PM25,12.33,3
2021-02-09,ATS_Bergamo,NO2,33.78,216
2021-02-09,ATS_Bergamo,PM10,22.75,8
2021-02-09,ATS_Bergamo,PM25,15.6,5
2021-02-09,ATS_Montagna,NO2,29.83,192
2021-02-09,ATS_Montagna,PM10,29.29,7
2021-02-09,ATS_Montagna,PM25,19.33,3
2021-02-10,ATS_Bergamo,NO2,34.11,216
2021-02-10,ATS_Bergamo,PM10,14.0,8
2021-02-10,ATS_Bergamo,PM25,10.0,5
2021-02-10,ATS_Montagna,NO2,26.68,192
2021-02-10,ATS_Montagna,PM10,18.43,7
2021-02-10,ATS_Montagna,PM25,15.33,3
2021-02-11,ATS_Bergamo,NO2,29.16,215
2021-02-11,ATS_Bergamo,PM10,17.88,8
2021-02-11,ATS_Bergamo,PM25,14.4,5
2021-02-11,ATS_Montagna,NO2,25.34,192
2021-02-11,ATS_Montagna,PM10,24.71,7
2021-02-11,ATS_Montagna,PM25,14.33,3
2021-02-12,ATS_Bergamo,NO2,20.91,215
2021-02-12,ATS_Bergamo,PM10,21.0,8
2021-02-12,ATS_Bergamo,PM25,16.4,5
2021-02-12,ATS_Montagna,NO2,17.52,188
2021-02-12,ATS_Montagna,PM10,20.86,7
2021-02-12,ATS_Montagna,PM25,13.67,3
2021-02-13,ATS_Bergamo,NO2,18.12,216
2021-02-13,ATS_Bergamo,PM10,23.88,8
2021-02-13,ATS_Bergamo,PM25,19.6,5
2021-02-13,ATS_Montagna,NO2,16.68,192
2021-02-13,ATS_Montagna,PM10,22.0,7
2021-02-13,ATS_Montagna,PM25,15.33,3
2021-02-14,ATS_Bergamo,NO2,28.96,216
2021-02-14,ATS_Bergamo,PM10,32.25,8
2021-02-14,ATS_Bergamo,PM25,26.5,4
2021-02-14,ATS_Montagna,NO2,27.54,192
2021-02-14,ATS_Montagna,PM10,33.71,7
2021-02-14,ATS_Montagna,PM25,24.33,3
2021-02-15,ATS_Bergamo,NO2,38.29,216
2021-02-15,ATS_Bergamo,PM10,30.12,8
2021-02-15,ATS_Bergamo,PM25,25.75,4
2021-02-15,ATS_Montagna,NO2,40.91,192
2021-02-15,ATS_Montagna,PM10,34.57,7
2021-02-15,ATS_Montagna,PM25,24.33,3
2021-02-16,ATS_Bergamo,NO2,35.62,216
2021-02-16,ATS_Bergamo,PM10,25.75,8
2021-02-16,ATS_Bergamo,PM25,19.4,5
2021-02-16,ATS_Montagna,NO2,42.32,192
2021-02-16,ATS_Montagna,PM10,39.43,7
2021-02-16,ATS_Montagna,PM25,29.67,3
2021-02-17,ATS_Bergamo,NO2,41.86,216
2021-02-17,ATS_Bergamo,PM10,53.29,7
2021-02-17,ATS_Bergamo,PM25,41.2,5
2021-02-17,ATS_Montagna,NO2,35.67,192
