giorno,ATS,NO2_mean_ugm3,PM10_mean_ugm3,PM25_mean_ugm3
2021-03-22,ATS_Bergamo,40.16,27.15,24.24
2021-03-22,ATS_Montagna,29.52,34.0,24.0
2021-03-23,ATS_Bergamo,33.66,26.32,18.5
2021-03-23,ATS_Montagna,26.76,34.0,22.0
2021-03-24,ATS_Bergamo,41.17,39.98,30.73
2021-03-24,ATS_Montagna,33.09,45.0,30.0
2021-03-25,ATS_Bergamo,42.79,57.76,45.15
2021-03-25,ATS_Montagna,33.3,49.0,35.0
2021-03-26,ATS_Bergamo,38.23,65.19,48.0
2021-03-26,ATS_Montagna,30.34,67.0,51.0
2021-03-27,ATS_Bergamo,30.86,47.68,33.15
2021-03-27,ATS_Montagna,33.39,85.0,56.0
2021-03-28,ATS_Bergamo,21.81,25.92,18.95
2021-03-28,ATS_Montagna,13.3,30.0,23.0
2021-03-29,ATS_Bergamo,35.09,38.77,25.81
2021-03-29,ATS_Montagna,22.96,40.0,24.0
2021-03-30,ATS_Bergamo,36.86,56.9,37.09
2021-03-30,ATS_Montagna,24.68,49.0,29.0
2021-03-31,ATS_Bergamo,35.76,61.76,39.95
2021-03-31,ATS_Montagna,25.16,48.0,31.0
2021-04-01,ATS_Bergamo,35.53,57.01,35.09
2021-04-01,ATS_Montagna,30.62,54.0,31.0
2021-04-02,ATS_Bergamo,33.25,38.08,23.42
2021-04-02,ATS_Montagna,27.64,37.0,19.0
2021-04-03,ATS_Bergamo,19.2,28.04,16.63
2021-04-03,ATS_Montagna,10.1,23.0,13.0
2021-04-04,ATS_Bergamo,13.41,11.61,7.69
2021-04-04,ATS_Montagna,3.83,12.0,6.0
2021-04-05,ATS_Bergamo,15.41,12.69,10.09
2021-04-05,ATS_Montagna,9.84,17.0,12.0
2021-04-06,ATS_Bergamo,19.26,17.0,12.98
2021-04-06,ATS_Montagna,14.23,17.0,11.0
2021-04-07,ATS_Bergamo,16.95,10.66,9.98
2021-04-07,ATS_Montagna,15.22,13.0,6.0
2021-04-08,ATS_Bergamo,28.32,15.47,11.93
2021-04-08,ATS_Montagna,19.84,16.0,13.0
2021-04-09,ATS_Bergamo,30.84,23.84,15.82
2021-04-09,ATS_Montagna,31.25,30.0,18.0
2021-04-10,ATS_Bergamo,27.57,19.03,8.66
2021-04-10,ATS_Montagna,24.22,40.0,25.0
2021-04-11,ATS_Bergamo,17.51,9.47,6.73
2021-04-11,ATS_Montagna,15.36,31.0,30.0
2021-04-12,ATS_Bergamo,26.81,7.76,9.15
2021-04-12,ATS_Montagna,20.3,19.0,16.0
2021-04-13,ATS_Bergamo,27.42,12.27,11.39
2021-04-13,ATS_Montagna,11.42,13.0,9.0
2021-04-14,ATS_Bergamo,26.0,14.36,14.13
2021-04-14,ATS_Montagna,15.01,17.0,11.0
2021-04-15,ATS_Bergamo,22.98,15.38,14.31
2021-04-15,ATS_Montagna,13.89,19.0,14.0
2021-04-16,ATS_Bergamo,21.57,16.32,13.31
2021-04-16,ATS_Montagna,15.58,19.0,12.0
2021-04-17,ATS_Bergamo,20.19,22.63,20.58
2021-04-17,ATS_Montagna,11.64,27.0,20.0
2021-04-18,ATS_Bergamo,15.78,21.87,16.81
2021-04-18,ATS_Montagna,7.14,27.0,20.0
2021-04-19,ATS_Bergamo,25.26,19.02,16.75
2021-04-19,ATS_Montagna,15.95,21.0,16.0
2021-04-20,ATS_Bergamo,30.09,22.06,18.37
2021-04-20,ATS_Montagna,18.2,21.0,15.0
2021-04-21,ATS_Bergamo,23.29,14.88,11.89
2021-04-21,ATS_Montagna,20.52,24.0,17.0
2021-04-22,ATS_Bergamo,26.26,25.35,20.28
2021-04-22,ATS_Montagna,15.62,26.0,22.0
2021-04-23,ATS_Bergamo,27.83,32.54,26.29
2021-04-23,ATS_Montagna,14.0,35.0,27.0
2021-04-24,ATS_Bergamo,22.89,25.86,19.16
2021-04-24,ATS_Montagna,10.15,27.0,22.0
2021-04-25,ATS_Bergamo,18.41,24.39,20.43
2021-04-25,ATS_Montagna,7.32,25.0,19.0
2021-04-26,ATS_Bergamo,30.54,30.01,22.67
2021-04-26,ATS_Montagna,23.72,37.0,24.0
2021-04-27,ATS_Bergamo,26.1,26.11,17.88
2021-04-27,ATS_Montagna,15.64,43.0,28.0
2021-04-28,ATS_Bergamo,26.74,37.14,28.43
2021-04-28,ATS_Montagna,14.56,50.0,36.0
2021-04-29,ATS_Bergamo,25.09,23.63,13.4
2021-04-29,ATS_Montagna,15.6,20.0,20.0
2021-04-30,ATS_Bergamo,23.19,7.59,3.95
2021-04-30,ATS_Montagna,11.9,11.0,11.0
2021-05-01,ATS_Bergamo,16.1,11.24,5.52
2021-05-01,ATS_Montagna,6.27,14.0,12.0
2021-05-02,ATS_Bergamo,14.97,4.69,3.86
2021-05-02,ATS_Montagna,5.75,7.0,6.0
2021-05-03,ATS_Bergamo,23.82,10.89,7.53
2021-05-03,ATS_Montagna,12.68,12.0,10.0
2021-05-04,ATS_Bergamo,26.04,15.58,11.92
2021-05-04,ATS_Montagna,13.5,19.0,11.0
2021-05-05,ATS_Bergamo,23.22,15.44,8.46
2021-05-05,ATS_Montagna,15.12,27.0,12.0
2021-05-06,ATS_Bergamo,24.56,16.57,9.41
2021-05-06,ATS_Montagna,14.18,20.0,11.0
2021-05-07,ATS_Bergamo,21.76,14.28,8.19
2021-05-07,ATS_Montagna,9.53,13.0,4.0
2021-05-08,ATS_Bergamo,20.18,10.81,6.52
2021-05-08,ATS_Montagna,7.26,11.0,6.0
2021-05-09,ATS_Bergamo,16.03,14.79,8.94
2021-05-09,ATS_Montagna,5.12,14.0,8.0
2021-05-10,ATS_Bergamo,24.26,21.16,11.88
2021-05-10,ATS_Montagna,13.86,26.0,10.0
2021-05-11,ATS_Bergamo,23.16,10.29,4.73
2021-05-11,ATS_Montagna,14.62,17.0,12.0
2021-05-12,ATS_Bergamo,18.37,7.91,2.81
2021-05-12,ATS_Montagna,10.18,10.0,8.0
2021-05-13,ATS_Bergamo,18.78,6.3,3.46
2021-05-13,ATS_Montagna,9.2,9.0,3.0
2021-05-14,ATS_Bergamo,19.32,8.22,4.61
2021-05-14,ATS_Montagna,8.19,10.0,5.0
2021-05-15,ATS_Bergamo,20.39,8.44,5.05
