stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale,pop_weight_media,area_weight_media
21-22,ATS_Montagna,PM10,2021,48,W48/2021,9,134,5.5060,3.6494,1.4429,26.1143,6.9051,3.7258
21-22,ATS_Montagna,PM10,2021,49,W49/2021,10,134,4.7609,3.0984,1.4286,20.6286,5.9301,3.3681
21-22,ATS_Montagna,PM10,2021,50,W50/2021,11,134,9.1430,7.1415,1.3571,41.5857,11.2849,5.4916
21-22,ATS_Montagna,PM10,2021,51,W51/2021,12,134,11.8800,7.6716,1.6429,45.5000,14.3485,7.4617
21-22,ATS_Montagna,PM10,2021,52,W52/2021,13,134,8.5549,6.5482,1.3429,37.5571,10.6815,5.2531
21-22,ATS_Montagna,PM10,2022,1,W01/2022,14,134,7.2317,5.4671,1.4857,29.6286,8.6259,4.6045
21-22,ATS_Montagna,PM10,2022,2,W02/2022,15,134,9.1586,6.5691,2.1000,34.4714,10.7551,5.8394
21-22,ATS_Montagna,PM10,2022,3,W03/2022,16,134,8.6063,5.4918,3.0571,30.7286,10.3144,6.0849
21-22,ATS_Montagna,PM10,2022,4,W04/2022,17,134,9.0608,6.2064,2.6429,35.8000,10.7386,6.0612
21-22,ATS_Montagna,PM10,2022,5,W05/2022,18,134,7.3705,4.3449,2.1857,26.8714,8.5735,5.0970
21-22,ATS_Montagna,PM10,2022,6,W06/2022,19,134,8.2938,3.9031,2.2000,23.1857,9.2029,5.8632
21-22,ATS_Montagna,PM10,2022,7,W07/2022,20,134,6.7777,4.2996,2.0286,27.4429,8.2404,4.6033
21-22,ATS_Montagna,PM10,2022,8,W08/2022,21,134,5.6392,2.7007,2.9143,19.9286,6.4726,4.4501
21-22,ATS_Montagna,PM10,2022,9,W09/2022,22,134,10.2615,4.5284,2.4000,27.4000,11.2625,7.1473
21-22,ATS_Montagna,PM10,2022,10,W10/2022,23,134,14.0201,5.2771,3.7857,30.3857,14.9026,10.1494
21-22,ATS_Montagna,PM10,2022,11,W11/2022,24,134,14.3908,5.4725,4.0286,30.9000,15.3386,10.3641
21-22,ATS_Montagna,PM10,2022,12,W12/2022,25,134,12.2733,4.2625,4.6143,28.0286,13.0650,9.2663
21-22,ATS_Montagna,PM10,2022,13,W13/2022,26,134,8.7915,3.4241,2.8714,21.9857,9.6123,6.4732
21-22,ATS_Montagna,PM10,2022,14,W14/2022,27,134,6.5739,2.7015,1.9000,15.2429,7.0751,4.7448
21-22,ATS_Montagna,PM10,2022,15,W15/2022,28,134,9.2763,2.8974,3.8143,20.3143,9.8089,7.2122
21-22,ATS_Montagna,PM10,2022,16,W16/2022,29,134,6.9026,2.4053,2.4286,14.5714,7.3379,5.2168
22-23,ATS_Montagna,PM10,2022,40,W40/2022,1,134,7.2616,2.8420,1.8571,16.2429,7.7265,5.2879
22-23,ATS_Montagna,PM10,2022,41,W41/2022,2,134,7.5308,3.7601,1.7714,19.0286,8.2139,5.2208
22-23,ATS_Montagna,PM10,2022,42,W42/2022,3,134,6.8599,2.7548,2.4429,15.6429,7.5385,5.1821
22-23,ATS_Montagna,PM10,2022,43,W43/2022,4,134,4.2814,2.1697,1.3429,12.6714,4.8878,3.0249
22-23,ATS_Montagna,PM10,2022,44,W44/2022,5,134,6.0160,2.8877,2.0429,20.0000,7.0152,4.3491
22-23,ATS_Montagna,PM10,2022,45,W45/2022,6,134,8.2496,4.6531,1.5857,29.0143,9.7327,5.4957
22-23,ATS_Montagna,PM10,2022,46,W46/2022,7,134,5.4167,3.5610,1.1571,23.1286,6.7018,3.4762
22-23,ATS_Montagna,PM10,2022,47,W47/2022,8,134,5.1617,3.1380,1.2000,19.4857,6.2614,3.3939
22-23,ATS_Montagna,PM10,2022,48,W48/2022,9,134,12.6503,6.8319,1.9714,41.1714,14.3809,8.1627
22-23,ATS_Montagna,PM10,2022,49,W49/2022,10,134,7.7366,4.8935,1.4714,29.5143,9.1849,4.9566
22-23,ATS_Montagna,PM10,2022,50,W50/2022,11,134,8.9882,5.7474,1.1143,36.2857,10.8129,5.6441
22-23,ATS_Montagna,PM10,2022,51,W51/2022,12,134,10.2177,6.7227,1.4286,40.7000,12.4952,6.6350
22-23,ATS_Montagna,PM10,2022,52,W52/2022,13,134,10.5611,6.8217,1.5143,36.9000,12.6475,6.6844
22-23,ATS_Montagna,PM10,2023,1,W01/2023,14,134,11.3163,8.4261,1.9857,50.8429,13.5170,7.4459
22-23,ATS_Montagna,PM10,2023,2,W02/2023,15,134,6.9906,5.1317,1.2143,31.0286,8.5580,4.7114
22-23,ATS_Montagna,PM10,2023,3,W03/2023,16,134,6.0131,4.0060,1.7429,25.8714,7.2558,4.1882
22-23,ATS_Montagna,PM10,2023,4,W04/2023,17,134,11.6776,7.0388,2.8429,41.4571,13.3163,7.6331
22-23,ATS_Montagna,PM10,2023,5,W05/2023,18,134,6.2299,3.8363,2.2857,24.1143,7.6079,4.7276
22-23,ATS_Montagna,PM10,2023,6,W06/2023,19,134,11.7995,6.0471,2.2571,34.6429,13.1262,7.8618
22-23,ATS_Montagna,PM10,2023,7,W07/2023,20,134,13.4120,7.6514,2.5857,43.7286,15.3458,8.8234
22-23,ATS_Montagna,PM10,2023,8,W08/2023,21,134,14.8719,7.3835,3.2714,43.9571,16.9078,10.1129
22-23,ATS_Montagna,PM10,2023,9,W09/2023,22,134,9.3478,4.6014,2.3714,25.6857,10.3083,6.2488
22-23,ATS_Montagna,PM10,2023,10,W10/2023,23,134,5.5959,2.8010,1.6143,16.4714,6.3415,4.0180
22-23,ATS_Montagna,PM10,2023,11,W11/2023,24,134,8.9968,3.2329,3.0286,18.8857,9.6821,6.7723
22-23,ATS_Montagna,PM10,2023,12,W12/2023,25,134,8.1261,3.7836,2.2429,20.9143,8.8549,5.7402
22-23,ATS_Montagna,PM10,2023,13,W13/2023,26,134,4.2219,1.3967,2.7143,10.3429,4.7157,3.6343
22-23,ATS_Montagna,PM10,2023,14,W14/2023,27,134,6.3020,2.3419,3.0000,15.5571,6.8371,4.9060
22-23,ATS_Montagna,PM10,2023,15,W15/2023,28,134,4.3581,1.5872,1.8714,10.2571,4.7859,3.4001
