Variabile,Stagione_ILI,Lag,r_Pearson,p_Pearson,rho_Spearman,p_Spearman,N_punti
HUMIDITY,25-26,4,0.02424045900005828,0.9289954822913203,0.19867555047552532,0.46073324422174905,16
HUMIDITY,25-26,5,-0.048759201051192906,0.8629958621115099,0.20732805419115252,0.45843226895256955,15
HUMIDITY,25-26,6,-0.05970481571387297,0.8393333196822907,0.12761283849736174,0.6637431092955276,14
HUMIDITY,25-26,7,0.20015210648351442,0.5120623933133782,-0.008253102718210942,0.9786522347721123,13
HUMIDITY,25-26,8,-0.06141559891626161,0.8496175820031093,-0.09457107322567676,0.77001958268201,12
PM10,22-23,0,0.17045358363325813,0.4724536705338786,0.3233082706766917,0.1643897370386501,20
PM10,22-23,1,0.3028071785168634,0.20761941252373498,0.5070175438596491,0.026719055618913825,19
PM10,22-23,2,0.12751678590540944,0.6140962493451496,0.28586171310629516,0.25016959354548063,18
PM10,22-23,3,-0.18656430543985586,0.4733953028504151,0.12254901960784316,0.639378272107459,17
PM10,22-23,4,-0.2675647049540109,0.31640905573724376,-0.34705882352941175,0.18783442010629955,16
PM10,22-23,5,-0.19543013222373734,0.4851706506109667,-0.22499999999999998,0.42010468690763486,15
PM10,22-23,6,-0.10553697039574325,0.7195412192617996,0.032967032967032975,0.9109186530718452,14
PM10,22-23,7,-0.008474041211648325,0.9780808690126721,-0.06593406593406594,0.830542385756094,13
PM10,22-23,8,0.33345029292604766,0.2895119525701707,0.2377622377622378,0.45680085263992326,12
PM10,23-24,0,0.06027983280197464,0.800692746144307,0.16848440454378052,0.4776606824875244,20
PM10,23-24,1,0.05381544577514073,0.8267989874853849,0.02018429329895681,0.9346338590555167,19
PM10,23-24,2,-0.018260939216887023,0.9426671057293536,-0.030975739801653725,0.9028889682735302,18
PM10,23-24,3,-0.18330406697871554,0.48129782035870333,-0.11649297100682665,0.6561399651979845,17
PM10,23-24,4,-0.31225352906193315,0.239024650190473,-0.30905085629526163,0.24413350137013784,16
PM10,23-24,5,-0.3744990472154732,0.16904777343445934,-0.5254693787258522,0.044259477437177105,15
PM10,23-24,6,-0.28776134401124687,0.31845768135947417,-0.2838285545889597,0.32541058557066366,14
PM10,23-24,7,0.4869997106338685,0.09144299755116356,0.47592892341683096,0.10018480498473668,13
PM10,23-24,8,0.39391841875122,0.20515503187909628,0.5008764248619176,0.0971737747799285,12
PM10,24-25,0,0.24932818241141758,0.2891033341166417,0.24360902255639094,0.3006681944004439,20
PM10,24-25,1,0.20251461781015961,0.4057027542110768,0.20526315789473687,0.39922262991187724,19
PM10,24-25,2,0.008851756483349571,0.972192070052928,0.04231166150670795,0.8676065335789527,18
PM10,24-25,3,0.20243971349268933,0.4358481974923176,0.14950980392156862,0.5668307307163287,17
PM10,24-25,4,0.28434259530815587,0.28581840599955727,0.12058823529411765,0.6564245147485953,16
PM10,24-25,5,0.1466907857552413,0.6018932338183539,-0.075,0.7905107941552678,15
PM10,24-25,6,0.2434053885946879,0.4017224023613003,-0.032967032967032975,0.9109186530718452,14
PM10,24-25,7,0.1891487909976876,0.5359846409343375,0.19780219780219782,0.51713091148483,13
PM10,24-25,8,0.32456264774913784,0.3033433327457081,0.5454545454545455,0.06661188226688902,12
PM10,25-26,0,0.19242792941426323,0.41633797470025724,0.232418218767983,0.32409881250525224,20
PM10,25-26,1,0.11680228401987001,0.6339313987754399,0.29925408760627265,0.21326854067760959,19
PM10,25-26,2,0.13400188706758542,0.596037058158884,0.1022199413454573,0.6865010272445283,18
PM10,25-26,3,0.09974699479977625,0.7032823037048112,0.14960149960876687,0.5665901587360497,17
PM10,25-26,4,-0.029353479218192938,0.9140656327644225,-0.007358353721315752,0.9784231020466426,16
PM10,25-26,5,-0.0882577129387545,0.7544500790025214,-0.14655948658340093,0.6022220228032137,15
PM10,25-26,6,0.12856994785330525,0.6613578755925507,0.18261837233243144,0.532049974607802,14
PM10,25-26,7,-0.06888997125537613,0.8230509124464652,-0.07152689022449482,0.8163794952824597,13
PM10,25-26,8,-0.052949130043705134,0.8701813702508319,0.08056054385890982,0.8034511092063401,12
PM25,22-23,0,0.3218696878936787,0.16638362189039121,0.437593984962406,0.05366144000429179,20
PM25,22-23,1,0.4029602056938182,0.08715072252339011,0.5982456140350877,0.006814905240034416,19
PM25,22-23,2,0.20131041338990502,0.42311824706413964,0.3519091847265222,0.15210693918997703,18
