STAGIONE,SETTIMANA,ORDINE,ILI_NORM,TEMP_lag2,HUMIDITY_lag1,PM25_lag1,PM10_lag1,NO2_lag1,ILI_NORM_lag1
23-24,51,4,9.682477459819678,3.9599999999999995,90.902,33.71666666666667,45.82,45.604,7.347597900686314
23-24,52,5,11.730395333765392,6.300000000000001,69.272,34.38,47.427499999999995,56.215999999999994,9.682477459819678
23-24,1,6,8.717774762550883,8.848333333333334,84.264,31.03,40.85,44.33,11.730395333765392
23-24,2,7,6.039689387402934,9.276666666666667,92.374,23.429999999999996,29.32,40.674,8.717774762550883
23-24,3,8,4.672897196261682,6.448333333333333,76.862,27.62,36.464999999999996,47.868,6.039689387402934
23-24,4,9,4.427184466019417,4.6450000000000005,84.268,33.86000000000001,43.2525,50.86,4.672897196261682
23-24,5,10,4.583333333333333,3.9266666666666663,77.174,54.76333333333333,72.105,66.758,4.427184466019417
23-24,6,11,4.568901989683124,5.146666666666666,81.686,50.906666666666666,68.68,65.53,4.583333333333333
23-24,7,12,4.522792022792023,6.47,87.162,30.76,42.2825,39.766,4.568901989683124
23-24,8,13,4.160475482912332,10.465000000000002,76.994,54.526666666666664,72.28500000000001,59.974000000000004,4.522792022792023
23-24,9,14,3.7750688163586315,10.145,81.61800000000001,40.61666666666667,53.25,42.078,4.160475482912332
23-24,10,15,4.8870788596815995,10.215,93.864,10.906666666666666,14.365,37.215999999999994,3.7750688163586315
23-24,11,16,4.83216525267429,9.97,86.28,11.476666666666667,16.305,28.66,4.8870788596815995
23-24,12,17,4.619565217391304,9.58,68.888,16.146666666666665,24.68,31.942,4.83216525267429
23-24,13,18,4.924874791318865,13.17,66.482,25.573333333333334,35.322500000000005,28.060000000000002,4.619565217391304
23-24,14,19,4.645760743321719,14.589999999999998,80.558,12.57,25.392500000000002,31.75,4.924874791318865
23-24,15,20,5.02706883217324,10.963333333333333,68.23,8.93,19.1625,30.732,4.645760743321719
24-25,50,3,5.644171779141105,7.5566666666666675,85.482,36.0,53.5375,55.536,5.869565217391305
24-25,51,4,6.071719641401793,5.329999999999999,89.504,31.666666666666668,43.93,45.315999999999995,5.644171779141105
24-25,52,5,8.294314381270903,5.276666666666666,73.81199999999998,30.12,42.1775,52.428,6.071719641401793
24-25,1,6,7.451782583284629,6.260000000000001,54.017999999999994,28.236666666666668,41.3225,56.152,8.294314381270903
24-25,2,7,8.718726307808947,5.756666666666667,80.666,66.0,88.85499999999999,52.65,7.451782583284629
24-25,3,8,7.2698538127222445,5.598333333333334,86.576,21.713333333333335,29.3925,40.456,8.718726307808947
24-25,4,9,7.955801104972375,5.2316666666666665,70.906,31.763333333333332,48.07,59.019999999999996,7.2698538127222445
24-25,5,10,8.95741556534508,3.768333333333333,96.25800000000001,18.57,24.6075,41.114,7.955801104972375
24-25,6,11,8.2572159298502,6.875,93.31,18.856666666666666,26.324999999999996,43.524,8.95741556534508
24-25,7,12,6.880570409982174,7.558333333333333,83.64,32.096666666666664,43.8575,47.2,8.2572159298502
24-25,8,13,5.43628808864266,5.698,88.10000000000001,23.810000000000002,31.107499999999998,38.862,6.880570409982174
24-25,9,14,6.04515659140568,7.081666666666666,70.452,44.663333333333334,60.28750000000001,40.275999999999996,5.43628808864266
24-25,10,15,5.559416261292564,6.439999999999999,80.224,36.0,48.0,36.634,6.04515659140568
24-25,11,16,4.927079227433977,10.17,54.898,35.42666666666667,54.035,59.827999999999996,5.559416261292564
24-25,12,17,5.223880597014925,11.265,86.25,12.563333333333333,16.18,27.639999999999997,4.927079227433977
24-25,13,18,4.826485839648983,10.843333333333334,70.97200000000001,20.523333333333333,31.142500000000002,33.86,5.223880597014925
24-25,14,19,4.361370716510903,9.7,66.576,13.143333333333333,20.2025,34.142,4.826485839648983
